Hostplus Superannuation Fund,,,,
HC High Growth Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC High Growth Option —Assets,,,Summary,
NUCOR CORP COM,2651086,55,"10,355",0.00%
NUFARM LIMITED NUFARM LIMITED,6335331,"664,087","2,350,867",0.22%
NUIX LTD,BMW7P63,389,"2,459",0.00%
NUTANIX INC - A NTNX,BYQBFT8,57,"5,645",0.00%
NUTRIEN LTD,BDRJLN0,100,"7,191",0.00%
NVIDIA CORP,2379504,"31,077","6,740,509",0.64%
NVR INC,2637785,1,"7,836",0.00%
NXP SEMICONDUCTORS NV,B505PN7,57,"19,144",0.00%
O.S.K. HOLDINGS BHD SHS,6655040,"221,594","142,472",0.01%
OAO GAZPROM-SPON ADR ADR REP 4 ORD RUB5,5140989,"1,471",0,0.00%
OBAYASHI CORP Y50,6656407,298,"6,406",0.00%
OBIC CO LTD,6136749,"5,448","262,748",0.02%
OBJECTIVE CORPORATION LTD OCL,6283407,"7,303","115,965",0.01%
OCCIDENTAL PETE CORP D COM,2655408,"4,860","387,879",0.04%
OCEANPAL INC,BRJVJ16,6,12,0.00%
OCEANPAL INC,MHY6430L2029 (ISIN),6,"4,522",0.00%
ODFJELL DRILLING LTD ODL,BDX87W2,"15,858","115,691",0.01%
ODONTOPREV S.A. COM NPV,B1H6R62,"34,739","98,630",0.01%
OFFSHORE OIL ENGINEERING-A,BP3R455,"27,096","32,607",0.00%
OFX GROUP LTD,BFG1Q58,"83,753","118,511",0.01%
OKAMOTO INDUSTRIES INC NPV,6657767,853,"50,316",0.00%
OKTA INC OKTA,BDFZSP1,30,"3,856",0.00%
OLD DOMIN FRGHT USD0.1,2656423,"1,245","354,595",0.03%
OLYMPUS CORP,6658801,251,"6,109",0.00%
OMNI BRIDGEWAY LTD-PLACEMENT,BM95XH7,"55,566","80,571",0.01%
OMNICOM GROUP INC COM,2279303,39,"5,443",0.00%
OMRON CORPORATION,6659428,46,"2,504",0.00%
OMV AG,4651459,48,"2,976",0.00%
ON SEMICONDUCTOR,2583576,91,"9,240",0.00%
ONEOK INC COM,2130109,126,"20,363",0.00%
ONEX CORP SUB VTG,2659518,"5,713","720,378",0.07%
ONO PHARMACEUTICAL CO LTD,6660107,79,"1,335",0.00%
OOH!MEDIA LTD OML,BSXN8D0,"300,996","355,175",0.03%
OPEN TEXT CORP COM,2260824,82,"3,740",0.00%
OPEN UP GROUP INC,B1XC021,"2,789","51,364",0.00%
OPTHEA LTD OPT,BYQ3YX1,"179,642","145,510",0.01%
OPTIMA BANK SA,BL571C1,"1,941","42,016",0.00%
ORA BANDA MINING LTD OBM,BKDX544,"1,542,133","1,002,386",0.10%
ORACLE CORP COM,2661568,"4,266","1,148,164",0.11%
ORACLE CORPORATION JAPAN ORACLE CORPORAT,6141680,6,921,0.00%
ORANGE,5176177,391,"6,300",0.00%
OREILLY AUTO NEW,B65LWX6,13,"25,081",0.00%
ORICA LTD,6458001,"151,100","2,505,239",0.24%
ORIENTAL LAND CO LTD,6648891,223,"7,855",0.00%
ORIGIN ENERGY LTD,6214861,"340,268","3,708,917",0.35%
ORION CORP SER'B'NPV,B17NY40,58,"4,129",0.00%
ORIX CORP ORD,6661144,252,"8,813",0.00%
ORKLA BORREGARD AS ORD CL A,B1VQF42,87,"1,213",0.00%
ORORA LTD,BH4TCW7,"665,505","1,637,141",0.16%
ORSTED A/S,BYT16L4,51,"3,728",0.00%
OSAKA GAS CO LTD,6661768,58,"2,045",0.00%
OTIS WORLDWIDE CORP-W/I,BK531S8,96,"14,353",0.00%
OTSUKA CORP NPV,6267058,46,"1,721",0.00%
OTSUKA HOLDINGS CO LTD NPV,B5LTM93,88,"7,802",0.00%
OVERSEA-CHINESE BANKING CORP,B0F9V20,622,"12,292",0.00%
OVINTIV INC,BJ01KB6,46,"3,027",0.00%
OVS SPA,BW0D7R8,"38,484","218,706",0.02%
OWENS CORNING INC COM STK USD0.01,B1FW7Q2,27,"7,383",0.00%
PACCAR INC COM,2665861,118,"19,841",0.00%
PACIFIC BASIN SHIPPING LTD,B01RQM3,"705,287","240,495",0.02%
PACKAGING CORP OF AMERICA COM,2504566,17,"6,194",0.00%
PALADIN ENERGY LTD,6668468,"37,138","280,761",0.03%
PALANTIR TECHNOLOGIES INC-A,BN78DQ4,474,"57,944",0.01%
PALO ALTO NETWORKS INC PALO ALTO NETWORK,B87ZMX0,147,"43,196",0.00%
PAN AMERICAN SILVER CORP COM NPV,2669272,109,"3,544",0.00%
PAN PACIFIC INTERNATIONAL HOLDINGS CORP,6269861,73,"3,232",0.00%
PANASONIC HOLDINGS CORP,6572707,539,"9,096",0.00%
PANDORA A/S DKK1,B44XTX8,25,"7,246",0.00%
PANTORO LTD,6210289,"1,089,228","98,030",0.01%
PARAGON BANKING GROUP PLC,B2NGPM5,"13,897","209,002",0.02%
PARKER HANNIFIN CORP,2671501,28,"28,559",0.00%
PARKLAND CORP,BLFHPV8,55,"1,992",0.00%
PARTNERS GROUP HOLDING AG,B119QG0,230,"504,095",0.05%
PAYCHEX INC COM,2674458,73,"16,449",0.00%
PAYCOM SOFTWARE INC PAYC,BL95MY0,14,"4,605",0.00%
PAYLOCITY HOLDING CORP PCTY,BKM4N88,"1,556","501,141",0.05%
PAYPAL HOLDINGS INC,BYW36M8,"1,606","221,397",0.02%
PB FINTECH LTD,INE417T01026 (ISIN),"9,461","376,376",0.04%
PDD HOLDINGS INC,BYVW0F7,"7,706","1,207,094",0.11%
PEABODY ENERGY CORP BTU,BDVPZV0,"8,309","281,008",0.03%
PEARSON PLC ORD,677608,196,"5,070",0.00%
PEET LTD NPV,B01QLP8,"259,619","377,745",0.04%
PEMBINA PIPELINE CORP COM NPV,B4PT2P8,80,"4,767",0.00%
PENTAIR PLC,BLS09M3,28,"4,625",0.00%
PEPSICO INC COM,2681511,307,"75,294",0.01%
PERENTI LTD,BKRKNV4,"43,637","60,873",0.01%
PERMANENT TSB GROUP HOLDINGS IPM,BWB8X52,"23,490","56,573",0.01%
PERMIAN BASIN ROYALTY TRUST UNITS OF BNF,2681964,"1,654","29,606",0.00%
PERNOD RICARD ACT,4682329,101,"18,415",0.00%
PERPETUAL TRUSTEES AUSTRALIA,6682394,170,"3,391",0.00%
PERSEUS MINING LTD NPV,B02FBC1,"77,771","199,872",0.02%
PERSIMMON,682538,79,"1,917",0.00%
PET VALU HOLDINGS LTD,BKY8LF1,"14,500","411,001",0.04%
PETRA DIAMONDS LTD-DI,BNYNCZ4,"7,056","4,424",0.00%
PETRO RIO SA PRIO3,BYY0144,"16,653","174,798",0.02%
PETROBRAS - PETROLEO BRAS COM NPV,2682365,"15,894","163,756",0.02%
PETROCHINA CO LTD-A,BP3R206,"76,026","149,527",0.01%
PETROCHINA CO LTD-H,6226576,"87,122","110,680",0.01%
PETRONAS CHEMICALS GROUP BHD,B5KQGT3,"140,140","261,701",0.02%
PEXA GROUP LTD,BMD0WJ3,"11,709","152,925",0.01%
PFIZER INC COM,2684703,"1,287","55,160",0.01%
PG&E CORP COM,2689560,417,"13,575",0.00%
PHILIP MORRIS INTERNAT NPV,B2PKRQ3,"11,556","2,246,181",0.21%
PHILIPS LIGHTING NV,BYY7VY5,"14,085","508,347",0.05%
PHILLIPS 66 COM USD0.01,B78C4Y8,104,"19,139",0.00%
PHOENIX GROUP HOLDINGS PLC PHNX,BGXQNP2,56,575,0.00%
PICC HOLDING CO-A,BDFS9G8,"26,340","44,157",0.00%
PIEDMONT LITHIUM LTD,BF1CV51,"271,116","39,312",0.00%
PILBARA MINERALS LTD PLS,B2368L5,"725,351","1,588,519",0.15%
PINEWOOD TECHNOLOGIES GROUP,BSB7BS0,"21,795","158,269",0.02%
PING AN BANK CO LTD-A,BD5CPS4,141,363,0.00%
PING AN INSURANCE GROUP CO-A,BP3R284,"55,178","639,119",0.06%
PING AN INSURANCE GROUP CO-H,B01FLR7,"166,246","1,591,764",0.15%
PINNACLE INVESTMENT MANAGEME PNI,BD0F7H1,"47,443","1,084,070",0.10%
PINTEREST INC- CLASS A PINS,BJ2Z0H2,125,"5,845",0.00%
PIRAEUS FINANCIAL HOLDINGS S,BNC0DB0,"5,856","37,709",0.00%
PKO BANK POLSKI SA PLN1,B03NGS5,"19,243","449,659",0.04%
PNC FINL SVCS GROUP IN COM,2692665,537,"167,359",0.02%
POLYNOVO LTD,BSJBZM6,142,291,0.00%
POP MART INTERNATIONAL GROUP,BN6PP37,"26,032","485,247",0.05%
PORSCHE AUTOMOBIL HLDG-PRF,7101069,36,"2,165",0.00%
POSTLE ITALIANE SPA PST,BYYN701,96,"2,186",0.00%
POWER ASSETS HOLDINGS LTD,6435327,351,"3,953",0.00%
POWER CORP CDA COM,2697701,167,"8,433",0.00%
POWER GRID CORP OF INDIA LTD,B233HS6,"73,946","430,626",0.04%
PPG INDS INC COM,2698470,"2,538","489,724",0.05%
PPL CORP COM,2680905,217,"11,381",0.00%
PRADA SPA EUR0.1,B4PFFW4,"32,648","408,309",0.04%
PRAIRIESKY ROYALTY LTD PSK,BN320L4,"8,472","266,696",0.03%
PREMIER INVESTMENTS LIMITED NPV,6699781,"12,515","402,108",0.04%
PRIMARIUS TECHNOLOGIES CO -A,CNE1000055M9 (ISIN),635,"2,642",0.00%
PRINCIPAL FINANCIAL GR COM,2803014,54,"6,694",0.00%
PRO MEDICUS LTD PME,6292782,"4,849","1,212,846",0.11%
PROCTER & GAMBLE CO COM,2704407,552,"149,479",0.01%
PROGRESS SOFTWARE CORP COM USD0.01,2705198,"2,966","312,090",0.03%
PROGRESSIVE CORP OHIO COM,2705024,132,"51,175",0.00%
PROLOGIS INC,B44WZD7,220,"37,634",0.00%
PROLOGIS PROPERTY MEXICO SA FIBRAPL,BN56JP1,"59,976","269,789",0.03%
PROPEL FUNERAL PARTNERS LTD,BYWQNJ3,"33,282","195,368",0.02%
PROSUS PRX,BJDS7L3,357,"22,866",0.00%
PROYA COSMETICS CO LTD-A,BKM3FN4,"10,724","199,830",0.02%
PRUDENTIAL FINL INC COM,2819118,99,"18,932",0.00%
PRUDENTIAL PLC,709954,"3,996","51,486",0.00%
PRYSMIAN SPA NPV,B1W4V69,58,"5,977",0.00%
PTC INC COM USD0.01,B95N910,"1,430","424,530",0.04%
PUBLIC BANK BHD,B012W42,"296,209","487,882",0.05%
PUBLIC STORAGE COM USD0.10,2852533,33,"16,168",0.00%
PUBLIC SVC ENTERPRISE COM,2707677,118,"16,034",0.00%
PUBLICIS GROUPE ACT,4380429,53,"9,112",0.00%
PULTE GROUP INC,2708841,42,"7,376",0.00%
PUMA SE,5064722,71,"5,270",0.00%
PURE STORAGE INC - CLASS A PSTG,BYZ62T3,75,"7,436",0.00%
PYC THERAPEUTICS LTD,B06NPT6,"45,799","60,455",0.01%
PYLON TECHNOLOGIES CO LTD-A,BQ3RX88,"3,583","31,570",0.00%
QANTAS AIRWAYS LIMITED,6710347,"588,240","5,276,514",0.50%
QBE INSURANCE GROUP LTD,6715740,"373,578","7,172,706",0.68%
QIAGEN N.V.,BMHCW17,30,"2,139",0.00%
QORIA LTD,BMXLP20,"149,991","73,495",0.01%
QORVO INC,BR9YYP4,17,"1,968",0.00%
QUALCOMM INC,2714923,718,"178,025",0.02%
QUANTA COMPUTER INC,6141011,"16,732","236,570",0.02%
QUANTA SERVICES INC COM USD0.00001,2150204,33,"17,034",0.00%
QUBE HOLDINGS LTD,B1L4BC6,"565,024","2,243,144",0.21%
QUEBECOR INC  -CL B CLASS'B'SUB VTG NPV,2715777,71,"2,498",0.00%
QUECTEL WIRELESS SOLUTIONS-A,BK71FL1,"2,079","31,306",0.00%
QUEENSLAND PACIFIC METALS LTD,AU0000122251 (ISIN),"99,316",0,0.00%
QUEST DIAGNOSTICS COM,2702791,24,"5,892",0.00%
RAKUTEN GROUP INC,6229597,641,"5,658",0.00%
RAMELIUS RESOURCES LTD NPV,6586872,"60,912","126,088",0.01%
RAMSAY HEALTH CARE LIMITED SHS,6041995,"30,265","1,045,337",0.10%
RANDSTAD HOLDING NV,5228658,15,997,0.00%
RATIONAL AG NPV,5910609,1,"1,650",0.00%
RAYMOND JAMES FINANCIAL INC COM,2718992,50,"12,506",0.00%
RB GLOBAL INC,BMWGTH9,52,"7,543",0.00%
REA GROUP LIMITED,6198578,"13,537","3,158,337",0.30%
READYTECH HOLDINGS LTD,BJQP1P3,"43,871","136,001",0.01%
REALIA BUSINESS SA ORD EUR0.24,B1YJJX5,"28,216","48,133",0.00%
REALTY INCOME CORP COM USD1,2724193,177,"15,280",0.00%
RECKITT BENCKISER GROUP PLC,B24CGK7,150,"14,708",0.00%
RECORDATI SPA EUR0.5,B07DRZ5,45,"3,825",0.00%
RECRUIT HOLDINGS CO LTD 6098,BQRRZ00,"3,964","453,986",0.04%
REDEIA CORP SA,BD6FXN3,38,"1,041",0.00%
REDOX LTD/AUSTRALIA,BQ81P89,"40,375","184,109",0.02%
REECE LTD,6728801,"16,561","370,638",0.04%
REGENCY CENTERS CORP COM USD0.01,2726177,37,"4,375",0.00%
REGENERON PHARMACEUTIC COM,2730190,28,"32,165",0.00%
REGION GROUP,BPBMY63,"318,334","658,952",0.06%
REGIONS FINL CORP COM,B01R311,238,"9,045",0.00%
REGIS HEALTHCARE LTD,BQV68F9,"28,639","171,833",0.02%
REGIS RESOURCES LTD NPV,6476542,"48,874","124,628",0.01%
RELIANCE INC,2729068,948,"412,468",0.04%
RELIANCE INDUSTRIES LTD,6099626,"46,005","1,054,847",0.10%
RELIANCE WORLDWIDE CORP LTD RWC,BD1DM79,"201,001","1,009,024",0.10%
RELX PLC,B2B0DG9,423,"31,055",0.00%
REMY COINTREAU,4741714,"3,945","385,287",0.04%
RENAULT SA,4712798,98,"7,723",0.00%
RENESAS ELECTRONICS CORP,6635677,351,"7,391",0.00%
RENEWI PLC,BNR4T86,"38,270","626,253",0.06%
RENTOKIL INITIAL PLC,B082RF1,673,"5,452",0.00%
REPLIGEN CORP COM USD0.01,2731654,"2,271","527,998",0.05%
REPSOL SA,5669354,365,"7,128",0.00%
REPUBLIC SVCS INC COM,2262530,48,"15,658",0.00%
RESMED INC COM USD0.004,2732903,962,"355,275",0.03%
RESMED INC-CDI RESMED INC-CDI,6221667,"177,867","6,540,157",0.62%
RESOLUTE MINING LTD NPV,6410636,"99,511","39,307",0.00%
RESONA HOLDINGS INC NPV,6421553,750,"8,821",0.00%
RESTAURANT BRANDS INTERN QSR,BTF8CF0,67,"7,007",0.00%
REVVITY INC,2305844,30,"5,381",0.00%
REXEL SA EUR5,B1VP0K0,20,842,0.00%
REYSAS GAYRIMENKUL YATIRIM O,B3VKHD1,"103,452","80,329",0.01%
REYSAS TICARET AS,B0YBSZ9,"72,790","74,939",0.01%
RH,BYXR425,350,"222,786",0.02%
RICHARD PIERIS & CO PLC RICH,6737603,"102,949","14,528",0.00%
RICOH COMPANY LIMITED,6738220,145,"2,702",0.00%
RIDLEY CORPORATION LIMITED SHS,6738929,"12,627","34,094",0.00%
RIGHTMOVE PLC,BGDT3G2,"31,903","414,169",0.04%
RINNAI CORPORATION,6740582,"2,567","85,987",0.01%
RIO TINTO LTD NPV,6220103,"46,431","5,453,784",0.52%
RIO TINTO PLC - REG,718875,"2,812","268,619",0.03%
RIVIAN AUTOMOTIVE INC-A,BL98841,"21,956","471,646",0.04%
RLX TECHNOLOGY INC-ADR,BMBKL76,"9,770","34,086",0.00%
ROBINHOOD MARKETS INC - A,BP0TQN6,137,"8,267",0.00%
ROBINSONS RETAIL HOLDINGS INC,BFTCYP4,"15,845","15,927",0.00%
ROBLOX CORP -CLASS A,BMWBC20,"8,788","821,205",0.08%
ROCHE HOLDING AG-BEARER AKT,7108918,13,"6,216",0.00%
ROCHE HOLDING AG-GENUSSCHEIN,7110388,"2,316","1,054,768",0.10%
ROCKCHIP ELECTRONICS CO L-A,BL58MB0,"1,587","38,435",0.00%
ROCKWELL AUTOMATION IN COM,2754060,"1,012","467,213",0.04%
ROCKWOOL A/S,4713490,2,883,0.00%
ROGERS COMMUNICATIONS INC-B,2169051,"2,026","100,537",0.01%
ROKU INC ROKU,BZ1LFG7,27,"3,276",0.00%
ROLLINS INC COM USD1,2747305,61,"4,556",0.00%
ROPER TECHNOLOGIES INC,2749602,21,"17,932",0.00%
ROSS STORES INC COM,2746711,72,"17,667",0.00%
ROX RESOURCES LTD,B00GBJ3,"301,121","60,224",0.01%
ROYAL BANK OF CANADA COM,2754383,330,"64,184",0.01%
ROYAL CARIBBEAN CRUISES LTD COM,2754907,49,"18,368",0.00%
ROYALTY PHARMA PLC- CL A,BMVP7Y0,78,"3,226",0.00%
RPM INC/OHIO COM,2756174,23,"4,480",0.00%
RS GROUP PLC,309644,"25,358","349,562",0.03%
RWE AG,4768962,"1,624","78,323",0.01%
RYAN SPECIALTY HOLDINGS INC,BNXKSK3,"2,834","293,660",0.03%
RYANAIR HOLDINGS PLC-SP ADR,BYYN585,"6,139","432,219",0.04%
S F HOLDING CO LTD-A,BD73M39,"14,663","130,005",0.01%
S&P GLOBAL INC,BYV2325,"2,301","1,850,942",0.18%
SAAB AB-B,BPXZH27,41,"1,414",0.00%
SAGA PLC,BMX64W8,"55,807","136,140",0.01%
SAGAX AB-B SAGAB,B9M3PK4,58,"1,912",0.00%
SAGE GROUP PLC/THE,B8C3BL0,331,"8,514",0.00%
SAIC MOTOR CORPORATION LTD-A,BP3R2D9,"7,919","36,165",0.00%
SAINSBURYS J P L C ORD,B019KW7,308,"1,704",0.00%
SALESFORCE INC,2310525,217,"117,299",0.01%
SALMAR ASA NOK0.25,B1W5NW2,34,"2,614",0.00%
SAMPO OYJ-A SHS,BMXX645,72,"4,739",0.00%
SAMSARA INC-CL A,BPK3058,"14,913","1,052,341",0.10%
SAMSUNG C&T CORP,BSXN8K7,"1,720","216,603",0.02%
SAMSUNG E&A CO LTD,6765239,"5,074","92,134",0.01%
SAMSUNG ELECTR-GDR 144A GDR REP 1/2 ORD,B01D632,308,"452,260",0.04%
SAMSUNG ELECTRO MECHANICS,6771689,"4,076","553,634",0.05%
SAMSUNG ELECTRONICS CO LTD,6771720,"41,576","2,426,625",0.23%
SAMSUNG ELECTRONICS-PFD NV,6773812,"4,791","232,320",0.02%
SAMSUNG SDI CO LTD,6771645,"1,585","430,487",0.04%
SANDFIRE RESOURCES LTD,6739739,"153,649","1,425,863",0.14%
SANDOZ GROUP AG,BLPLD38,95,"6,306",0.00%
SANDS CHINA LTD,B5B23W2,"71,864","312,288",0.03%
SANDVIK AB ORD,B1VQ252,252,"7,306",0.00%
SANGFOR TECHNOLOGIES INC-A,BHQPS70,"1,348","17,027",0.00%
SANLAM LTD SLM,B0L6750,"38,928","289,474",0.03%
SANOFI SYNTHELABO,5671735,239,"37,458",0.00%
SANSURE BIOTECH INC-A,CNE1000043J1 (ISIN),133,665,0.00%
SANTANA MINERALS LTD NPV,B9J8CP6,"134,040","65,009",0.01%
SANTOS LIMITED NPV,6776703,"820,151","5,478,609",0.52%
SANY HEAVY INDUSTRY CO LTD-A,BP3R3H0,"1,387","5,027",0.00%
SAP SE,4846288,"2,507","990,788",0.09%
SAPUTO INC,2112226,42,"1,179",0.00%
SARTORIUS AG-VORZUG SRT3,5843329,"1,587","571,288",0.05%
SARTORIUS STEDIM BIOTECH,BYZ2QP5,6,"2,045",0.00%
SAYONA MINING LTD,BBX4LR9,"1,423,361","38,431",0.00%
SBA COMMUNICATIONS CORP-CL A,BZ6TS23,28,"9,066",0.00%
SBERBANK-SPONSORED ADR,B5SC091,"5,859",0,0.00%
SBI HOLDINGS INC,6309466,61,"2,500",0.00%
SCB X PCL-FOREIGN,BPH0717,"10,718","59,404",0.01%
SCENTRE GROUP SMART COMMUNICATIONS GROUP,BLZH0Z7,"383,438","1,315,194",0.12%
SCHINDLER HOLDING AG-REG CHF0.1(REGD)(PO,B11WWH2,-1,-241,0.00%
SCHINDLER HOLDING-PART CERT PTG CERT CHF,B11TCY0,14,"6,225",0.00%
SCHLUMBERGER LTD COM,2779201,303,"18,749",0.00%
SCHNEIDER ELECTRIC SE,4834108,129,"52,104",0.00%
SCHRODERS PLC,BP9LHF2,-12,-80,0.00%
SCHWAB CHARLES CORP NE COM,2779397,"8,148","973,927",0.09%
SCORPIO TANKERS INC,BHXD297,"1,331","106,844",0.01%
SCOUT24 SE,BYT9340,9,"1,233",0.00%
SCP POOL CORP COM,2781585,629,"346,603",0.03%
SCREEN HOLDINGS CO LTD,6251028,18,"1,714",0.00%
SCSK CORP,6858474,-15,-513,0.00%
SD GUTHRIE BD,BF6RHY2,"28,033","50,121",0.00%
SDIC ESSENCE HOLDINGS CO L-A,BYYFJ78,"9,547","15,795",0.00%
SEA LTD-ADR SE,BYWD7L4,"9,517","1,630,843",0.15%
SEADRILL LIMITED,BNTBRX6,"3,539","222,551",0.02%
SEAGATE TECHNOLOGY HOLDINGS,BKVD2N4,780,"108,773",0.01%
SEB SA EUR3,4792132,0,50,0.00%
SECOM CO LTD,6791591,"3,775","208,284",0.02%
SECURITAS AB-B SHS,5554041,213,"4,257",0.00%
SEEK LTD NPV,B0767Y3,"109,947","2,481,504",0.24%
SEGRO PLC ORD GBP0.27083333,B5ZN1N8,196,"2,778",0.00%
SEI INVESTMENTS COMPANY COM USD0.01,2793610,17,"2,217",0.00%
SEIKO EPSON CORP,6616508,33,972,0.00%
SEKISUI CHEMICAL CO,6793821,92,"2,560",0.00%
SEKISUI HOUSE LTD SHS,6793906,98,"3,820",0.00%
SEKISUI JUSHI CORP NPV,6793843,"4,767","104,015",0.01%
SELECT HARVESTS LIMITED NPV,6260723,"62,190","264,309",0.03%
SEMBCORP INDUSTRIES LIMITED,B08X163,252,"1,650",0.00%
SEMPRA ENERGY COM,2138158,141,"19,922",0.00%
SENDAS DISTRIBUIDORA SA,BMZ9R04,"208,550","306,964",0.03%
SERVICE CORP INTL COM,2797560,"7,072","911,741",0.09%
SERVICE STREAM LTD NPV,B04KLG8,"186,541","291,004",0.03%
SERVICENOW INC COM USD0.001,B80NXX8,98,"167,917",0.02%
SEVEN & I HOLDINGS CO LTD NPV,B0FS5D6,487,"12,459",0.00%
SEVERN TRENT PLC,B1FH8J7,157,"7,950",0.00%
SG HOLDING CO LTD,BFFY885,251,"3,890",0.00%
SGH LTD,AU0000364754 (ISIN),"53,232","2,454,521",0.23%
SGS SA-REG,CH1256740924,34,"5,426",0.00%
SHANDONG HIMILE MECHANICAL-A 'A'CNY1,BD5CFQ2,"9,685","106,942",0.01%
SHANDONG HI-SPEED CO LTD -A,BP3R745,"30,027","67,909",0.01%
SHANDONG LINGLONG TYRE CO -A,BYW5N12,"10,120","40,165",0.00%
SHANDONG NANSHAN ALUMINUM-A,BP3R9D8,"268,274","230,768",0.02%
SHANDONG PUBLISHING & MEDI-A,BFYQHB8,"14,277","35,650",0.00%
SHANGHAI CONSTRUCTION CO-A,BP3R6J3,"52,713","30,732",0.00%
SHANGHAI HIUV NEW MATERIAL-A,CNE100004BY5 (ISIN),119,886,0.00%
SHANGHAI JUNSHI BIOSCIENCE-A,BLCD7F7,"1,495","8,989",0.00%
SHANGHAI PHARMACEUTICALS-A,BP3R4Z5,"7,152","33,044",0.00%
SHANGHAI PUDONG DEVEL BANK-A,BP3R2B7,"107,830","244,104",0.02%
SHANGHAI SMI HOLDING CO LTD,CNE0000005R5 (ISIN),"2,999","2,936",0.00%
SHANGHAI V-TEST SEMICONDUC-A,CNE100005NK6 (ISIN),812,"10,459",0.00%
SHANGHAI ZHENHUA HEAVY IND-A,CNE000001683 (ISIN),"2,366","2,040",0.00%
SHELF DRILLING LTD,BDVKB40,"34,516","46,213",0.00%
SHELL PLC-NEW,BP6MXD8,"4,378","219,287",0.02%
SHENNAN CIRCUITS CO LTD-A,BFY8GV7,"1,495","41,125",0.00%
SHENZHEN CHIPSCREEN BIOSCI-A,CNE100003LW0 (ISIN),477,"1,950",0.00%
SHENZHEN INOVANCE TECHNOLO-A,BD5CMN8,"15,501","199,774",0.02%
SHENZHEN JPT OPTO-ELECTRON-A,CNE1000062T0 (ISIN),89,929,0.00%
SHENZHEN MINDRAY BIO-MEDIC-A,BHQK864,"3,817","214,120",0.02%
SHENZHEN SUNLORD ELECTRONI-A,BD5C841,"1,394","9,656",0.00%
SHERWIN WILLIAMS CO COM,2804211,54,"29,715",0.00%
SHIMADZU CORPORATION,6804369,61,"2,794",0.00%
SHIMANO INC SHIMANO INC,6804820,19,"4,270",0.00%
SHIN ETSU CHEMICAL CO LTD,6804585,399,"21,713",0.00%
SHINHAN FINANCIAL GROUP LTD,6397502,"8,775","458,749",0.04%
SHIONOGI & CO LTD,6804682,235,"5,358",0.00%
SHISEIDO CO LTD ORD,6805265,101,"2,891",0.00%
SHIZUOKA FINANCIAL GROUP INC,BP38QJ6,268,"3,540",0.00%
SHOPIFY INC - A SH,BX865C7,262,"45,039",0.00%
SHOPIFY INC - A SH,BXDZ9Z0,"11,648","2,000,431",0.19%
SIBANYE STILLWATER LTD,BL0L913,"398,247","510,617",0.05%
SICHUAN CHUANTOU ENERGY CO-A,BP3R4Y4,"21,010","79,732",0.01%
SICHUAN KELUN PHARMACEUTIC-A,BD5CL08,"16,582","109,183",0.01%
SIEMENS A G ORD,5727973,159,"50,104",0.00%
SIEMENS ENERGY AG SIEMENS ENERGY AG,BMTVQK9,162,"13,688",0.00%
SIEMENS HEALTHINEERS AG,BD594Y4,72,"6,123",0.00%
SIEYUAN ELECTRIC CO LTD-A,BD5C7M2,70,"1,127",0.00%
SIG GROUP AG,BD5GN60,334,"10,639",0.00%
SIGMA COMPANY LIMITED SIG,BF13K02,"472,458","1,237,841",0.12%
SIKA AG-BR,BF2DSG3,42,"16,033",0.00%
SILEX SYSTEMS LIMITED NPV,6111735,"54,388","274,659",0.03%
SIMON PROPERTY GROUP INC COM USD0.0001,2812452,72,"20,001",0.00%
SIMS LTD,B0LCW75,"135,671","1,611,769",0.15%
SINGAPORE AIRLINES LTD,6811734,156,"1,189",0.00%
SINGAPORE EXCHANGE LTD,6303866,310,"4,680",0.00%
SINGAPORE TECH ENGINEERING,6043214,59,328,0.00%
SINGAPORE TELECOMMUNICATIONS,B02PY11,"2,350","8,570",0.00%
SINO BIOPHARMACEUTICAL,B00XSF9,"590,565","392,930",0.04%
SINO LAND CO,6810429,378,617,0.00%
SIRIUS XM HOLDINGS INC,BQWS627,276,"10,177",0.00%
SISTEMA PJSC FC,B5B6XH9,"2,137",0,0.00%
SITC INTERNATIONAL HOLDINGS,B61X7R5,295,"1,268",0.00%
SITEMINDER LTD,BLH35X6,"2,917","17,621",0.00%
SITIOS LATINOAMERICA SAB DE,BNTFDQ3,148,38,0.00%
SITIOS LATINOAMERICA SA-RTS29NOV2024,MX01LA080009 (ISIN),148,0,0.00%
SK HYNIX INC,6450267,"19,760","3,770,069",0.36%
SK KAKEN CO LTD NPV,6826578,"1,301","126,125",0.01%
SK TELECOM CO LTD ORD,6224871,"5,981","362,237",0.03%
SKANDINAVISKA ENSKILDA BAN-A SHS A,4813345,344,"7,608",0.00%
SKANSKA AB-B SHS,7142091,39,"1,317",0.00%
SKF AB-B SHARES,B1Q3J35,46,"1,395",0.00%
SKILLSOFT CORP,BMCZQ19,"6,692","258,960",0.02%
SKYCITY ENTERTAINMENT GROUP,6151311,"367,054","480,840",0.05%
SKYWORKS SOLUTIONS INC COM,2961053,42,"6,010",0.00%
SL GREEN REALTY CORP,BPGKM57,"1,627","178,439",0.02%
SMARTGROUP CORP LTD SMARTGROUP CORP LTD,BNB5WS6,"3,591","27,904",0.00%
SMARTONE TELECOMM HLDG ORD,6856995,"26,053","22,372",0.00%
SMC CORPORATION,6763965,13,"8,107",0.00%
