Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
AVALONBAY COMMUNITIES INC COM USD0.01,2131179,26,"9,389",0.00%
AVANOS MEDICAL INC,BFFVV54,"13,030","335,041",0.02%
AVANTOR INC AVTR,BJLT387,122,"4,150",0.00%
AVARY HOLDING SHENZHEN CO -A,BKDQ800,"1,131","9,074",0.00%
AVERY DENNISON CORP COM,2066408,20,"6,068",0.00%
AVIVA PLC,BPQY8M8,559,"5,302",0.00%
Avolta,B0R80X9,22,"1,403",0.00%
AVZ MINERALS LTD AVZ,B23G0B9,-205,-160,0.00%
AXA PARIS ACT ORD,7088429,364,"20,873",0.00%
AXIS CAPITAL HOLDINGS LTD COM USD0.0125,2677606,"1,956","280,037",0.01%
AXON ENTERPRISE INC,BDT5S35,14,"13,823",0.00%
AZELIS GROUP NV,BMHT025,"3,921","124,591",0.01%
AZRIELI GROUP ILS0.01,B5MN1W0,-5,-706,0.00%
B3 SA-BRASIL BOLSA BALCAO,BG36ZK1,"259,453","700,014",0.03%
BACHEM HOLDING AG-REG B,BMXVKB4,22,"2,244",0.00%
BAKER HUGHES A GE CO,BDHLTQ5,201,"13,284",0.00%
BALL CORP COM,2073022,62,"5,544",0.00%
BALOISE HOLDING AG - REG,7124594,4,"1,091",0.00%
BANCO BILBAO VIZCAYA ARGENTA,5501906,"1,129","17,840",0.00%
BANCO BPM SPA,BYMD5K9,125,"1,631",0.00%
BANCO BRADESCO SA-PREF PRF NPV,B00FM53,"98,753","298,452",0.01%
BANCO DE SABADELL SA EUR0.5,B1X8QN2,"1,147","3,602",0.00%
BANCO DO BRASIL SA COM NPV,2328595,"31,166","196,934",0.01%
BANCO SANTANDER CENTRA,5705946,"6,619","49,418",0.00%
BANCOLOMBIA S.A.-SPONS ADR SPON ADR REPR,2082567,"6,838","347,982",0.02%
BANDAI NAMCO HOLDINGS INC,B0JDQD4,133,"5,165",0.00%
BANGKOK BANK-FOR REG,6077019,"7,183","51,384",0.00%
BANGKOK DUSIT MED SERVICE-F THB1(ALIEN),BLZGSM7,"130,883","151,903",0.01%
BANK CENTRAL ASIA TBK,B01C1P6,"2,131,424","2,069,313",0.10%
BANK HAPOALIM BM ILS1,6075808,295,"5,757",0.00%
BANK LEUMI LE-ISRAEL ILS1,6076425,180,"3,468",0.00%
BANK MANDIRI TBK PT,6651048,"390,580","223,404",0.01%
BANK MONTREAL QUE COM,2076009,131,"20,586",0.00%
BANK NEGARA INDONESIA (PERSERO) TBK,6727121,"291,716","127,337",0.01%
BANK NOVA SCOTIA HALIF COM,2076281,219,"19,018",0.00%
BANK OF AMERICA CORP,2295677,"22,864","1,622,972",0.08%
BANK OF BEIJING CO LTD -A,BP3R2W8,"13,387","18,112",0.00%
BANK OF CHONGQING CO LTD-A,CNE100004C60 (ISIN),"15,856","32,372",0.00%
BANK OF GEORGIA GROUP PLC,BF4HYT8,"1,151","109,694",0.01%
BANK OF IRELAND GROUP PLC BIRG,BD1RP61,"1,997","29,417",0.00%
BANK OF JIANGSU CO LTD-A,BYW5MY8,"51,485","111,228",0.01%
