Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
NICK SCALI LTD NPV,B00VZV8,"7,708","115,694",0.01%
NICKEL INDUSTRIES LTD,BZ7NDP2,"1,037,678","856,084",0.04%
NIDEC CORP,6640682,170,"4,980",0.00%
NIHON KOHDEN CORP NPV,6639970,267,"5,913",0.00%
NIKE INC CL B,2640147,"4,238","517,991",0.03%
NINE ENTERTAINMENT CO HOLDIN NPV,BGQV183,"788,891","974,281",0.05%
NINESTAR CORP-A,BD5M2G1,"1,942","12,034",0.00%
NINGBO SHANSHAN CO LTD-A,BP3RF63,"19,101","31,306",0.00%
NINTENDO CORP LTD,6639550,"4,617","439,522",0.02%
NIPPON BUILDING FUND INC REIT,6396800,2,"2,665",0.00%
NIPPON PAINT HOLDINGS CO LTD,6640507,230,"2,423",0.00%
NIPPON SANSO HOLDINGS CORP,6640541,6,265,0.00%
NIPPON STEEL CORP,6642569,169,"5,512",0.00%
NIPPON TELEGRAPH & TELEPHONE ORD,6641373,"6,080","9,872",0.00%
NIPPON TELEVISION HOLDINGS INC,6644060,"1,494","42,180",0.00%
NIPPON YUSEN KK,6643960,65,"3,537",0.00%
NISOURCE INC COM,2645409,68,"4,015",0.00%
NISSAN MOTOR CO LTD,6642860,416,"2,051",0.00%
NISSIN FOODS HOLDINGS CO LTD,6641760,95,"3,734",0.00%
NITORI CO LTD,6644800,14,"2,626",0.00%
NITTO DENKO CORP,6641801,114,"3,137",0.00%
NMC HEALTH PLC ORD GBP0.10,GB00B7FC0762,10,199,0.00%
NN GROUP NV - W/I NN GROUP NV - W/I,BNG8PQ9,86,"6,061",0.00%
NOBLE CORP PLC,BN2QTL0,"5,559","281,926",0.01%
NOKIA OYJ,5902941,"1,173","8,388",0.00%
NOMAD FOODS LTD NOMD,BQFJGK5,"12,343","334,514",0.02%
NOMURA HOLDINGS INC SHS,6643108,"19,184","183,605",0.01%
NOMURA RESEARCH INSTITUTE,6390921,95,"4,560",0.00%
NORDEA BANK ABP NDA,BFM0SV9,766,"13,455",0.00%
NORDSON CORP COM NPV,2641838,7,"2,433",0.00%
NORFOLK SOUTHERN CORP COM,2641894,44,"16,850",0.00%
NORSK HYDRO ASA,B11HK39,338,"3,002",0.00%
NORTHAM PLATINUM HOLDINGS LT,BMZ1NS0,"13,847","115,453",0.01%
Northcape Capital Australia,MXP320321310 (ISIN),"87,929","1,213,704",0.06%
NORTHERN STAR RESOURCES LTD,6717456,"125,350","1,935,405",0.09%
NORTHERN TR CORP COM,2648668,63,"10,435",0.00%
NOVARTIS AG-REG SHS,7103065,407,"64,311",0.00%
NOVATEK OAO RUB0.1(USD),B19MY34,946,0,0.00%
NOVO NORDISK A/S-B,BP6KMJ1,660,"92,419",0.00%
NOVONESIS (NOVOZYMES) B,B798FW0,85,"7,780",0.00%
NOVONIX LTD,BYZ6CM6,"21,497","15,800",0.00%
NRG ENERGY INC COM USD0.01,2212922,46,"6,678",0.00%
NRW HOLDINGS LTD,B23XW70,"73,361","281,707",0.01%
NTT DATA GROUP CORP,6125639,154,"4,803",0.00%
NU HOLDINGS LTD/CAYMAN ISL-A,BN6NP19,"43,730","731,718",0.04%
NUCOR CORP COM,2651086,49,"9,263",0.00%
NUFARM LIMITED NUFARM LIMITED,6335331,"574,846","2,034,956",0.10%
NUIX LTD,BMW7P63,336,"2,125",0.00%
NUTANIX INC - A NTNX,BYQBFT8,51,"5,045",0.00%
NUTRIEN LTD,BDRJLN0,89,"6,418",0.00%
NVIDIA CORP,2379504,"27,828","6,035,786",0.29%
NVR INC,2637785,1,"6,993",0.00%
NXP SEMICONDUCTORS NV,B505PN7,51,"17,134",0.00%
O.S.K. HOLDINGS BHD SHS,6655040,"200,819","129,115",0.01%
OAO GAZPROM-SPON ADR ADR REP 4 ORD RUB5,5140989,"1,333",0,0.00%
OBAYASHI CORP Y50,6656407,269,"5,782",0.00%
OBIC CO LTD,6136749,"4,936","238,082",0.01%
OBJECTIVE CORPORATION LTD OCL,6283407,"6,321","100,382",0.00%
OCCIDENTAL PETE CORP D COM,2655408,"4,403","351,373",0.02%
OCEANPAL INC,BRJVJ16,6,11,0.00%
OCEANPAL INC,MHY6430L2029 (ISIN),6,"4,098",0.00%
ODFJELL DRILLING LTD ODL,BDX87W2,"14,371","104,845",0.01%
ODONTOPREV S.A. COM NPV,B1H6R62,"31,490","89,407",0.00%
OFFSHORE OIL ENGINEERING-A,BP3R455,"24,562","29,558",0.00%
OFX GROUP LTD,BFG1Q58,"72,499","102,586",0.00%
OKAMOTO INDUSTRIES INC NPV,6657767,773,"45,599",0.00%
OKTA INC OKTA,BDFZSP1,27,"3,436",0.00%
OLD DOMIN FRGHT USD0.1,2656423,"1,127","321,204",0.02%
OLYMPUS CORP,6658801,225,"5,472",0.00%
OMNI BRIDGEWAY LTD-PLACEMENT,BM95XH7,"48,099","69,744",0.00%
OMNICOM GROUP INC COM,2279303,35,"4,874",0.00%
OMRON CORPORATION,6659428,41,"2,246",0.00%
OMV AG,4651459,43,"2,677",0.00%
ON SEMICONDUCTOR,2583576,81,"8,254",0.00%
ONEOK INC COM,2130109,112,"18,220",0.00%
ONEX CORP SUB VTG,2659518,"5,177","652,832",0.03%
ONO PHARMACEUTICAL CO LTD,6660107,71,"1,193",0.00%
OOH!MEDIA LTD OML,BSXN8D0,"260,549","307,448",0.01%
OPEN TEXT CORP COM,2260824,74,"3,361",0.00%
OPEN UP GROUP INC,B1XC021,"2,528","46,548",0.00%
OPTHEA LTD OPT,BYQ3YX1,"155,502","125,957",0.01%
OPTIMA BANK SA,BL571C1,"1,759","38,076",0.00%
ORA BANDA MINING LTD OBM,BKDX544,"1,334,906","867,689",0.04%
ORACLE CORP COM,2661568,"3,862","1,039,408",0.05%
ORACLE CORPORATION JAPAN ORACLE CORPORAT,6141680,5,799,0.00%
ORANGE,5176177,351,"5,648",0.00%
OREILLY AUTO NEW,B65LWX6,12,"22,446",0.00%
ORICA LTD,6458001,"130,792","2,168,539",0.11%
ORIENTAL LAND CO LTD,6648891,200,"7,018",0.00%
ORIGIN ENERGY LTD,6214861,"294,532","3,210,401",0.16%
ORION CORP SER'B'NPV,B17NY40,52,"3,719",0.00%
ORIX CORP ORD,6661144,225,"7,878",0.00%
ORKLA BORREGARD AS ORD CL A,B1VQF42,77,"1,077",0.00%
ORORA LTD,BH4TCW7,"576,067","1,417,125",0.07%
ORSTED A/S,BYT16L4,46,"3,353",0.00%
OSAKA GAS CO LTD,6661768,51,"1,824",0.00%
OTIS WORLDWIDE CORP-W/I,BK531S8,86,"12,856",0.00%
OTSUKA CORP NPV,6267058,41,"1,537",0.00%
OTSUKA HOLDINGS CO LTD NPV,B5LTM93,79,"6,973",0.00%
OVERSEA-CHINESE BANKING CORP,B0F9V20,555,"10,966",0.00%
OVINTIV INC,BJ01KB6,41,"2,689",0.00%
OVS SPA,BW0D7R8,"34,876","198,202",0.01%
OWENS CORNING INC COM STK USD0.01,B1FW7Q2,24,"6,643",0.00%
PACCAR INC COM,2665861,106,"17,759",0.00%
PACIFIC BASIN SHIPPING LTD,B01RQM3,"639,164","217,948",0.01%
PACKAGING CORP OF AMERICA COM,2504566,15,"5,538",0.00%
PALADIN ENERGY LTD,6668468,"32,145","243,013",0.01%
PALANTIR TECHNOLOGIES INC-A,BN78DQ4,425,"51,887",0.00%
PALO ALTO NETWORKS INC PALO ALTO NETWORK,B87ZMX0,132,"38,668",0.00%
PAN AMERICAN SILVER CORP COM NPV,2669272,97,"3,179",0.00%
PAN PACIFIC INTERNATIONAL HOLDINGS CORP,6269861,65,"2,874",0.00%
PANASONIC HOLDINGS CORP,6572707,482,"8,133",0.00%
PANDORA A/S DKK1,B44XTX8,22,"6,498",0.00%
PANTORO LTD,6210289,"942,860","84,857",0.00%
PARAGON BANKING GROUP PLC,B2NGPM5,"12,594","189,407",0.01%
PARKER HANNIFIN CORP,2671501,25,"25,555",0.00%
PARKLAND CORP,BLFHPV8,49,"1,797",0.00%
PARTNERS GROUP HOLDING AG,B119QG0,208,"456,725",0.02%
PAYCHEX INC COM,2674458,65,"14,717",0.00%
PAYCOM SOFTWARE INC PAYC,BL95MY0,12,"4,137",0.00%
PAYLOCITY HOLDING CORP PCTY,BKM4N88,"1,410","454,158",0.02%
PAYPAL HOLDINGS INC,BYW36M8,"1,453","200,292",0.01%
PB FINTECH LTD,INE417T01026 (ISIN),"8,576","341,181",0.02%
PDD HOLDINGS INC,BYVW0F7,"6,983","1,093,927",0.05%
PEABODY ENERGY CORP BTU,BDVPZV0,"7,530","254,663",0.01%
PEARSON PLC ORD,677608,176,"4,571",0.00%
PEET LTD NPV,B01QLP8,"224,732","326,985",0.02%
PEMBINA PIPELINE CORP COM NPV,B4PT2P8,71,"4,221",0.00%
PENTAIR PLC,BLS09M3,25,"4,115",0.00%
PEPSICO INC COM,2681511,274,"67,403",0.00%
PERENTI LTD,BKRKNV4,"37,773","52,693",0.00%
PERMANENT TSB GROUP HOLDINGS IPM,BWB8X52,"21,288","51,269",0.00%
PERMIAN BASIN ROYALTY TRUST UNITS OF BNF,2681964,"1,499","26,831",0.00%
PERNOD RICARD ACT,4682329,91,"16,610",0.00%
PERPETUAL TRUSTEES AUSTRALIA,6682394,147,"2,920",0.00%
PERSEUS MINING LTD NPV,B02FBC1,"67,312","172,991",0.01%
PERSIMMON,682538,71,"1,723",0.00%
PET VALU HOLDINGS LTD,BKY8LF1,"13,141","372,469",0.02%
PETRA DIAMONDS LTD-DI,BNYNCZ4,"6,394","4,010",0.00%
PETRO RIO SA PRIO3,BYY0144,"15,095","158,453",0.01%
PETROBRAS - PETROLEO BRAS COM NPV,2682365,"14,404","148,403",0.01%
PETROCHINA CO LTD-A,BP3R206,"68,917","135,544",0.01%
PETROCHINA CO LTD-H,6226576,"78,975","100,330",0.00%
PETRONAS CHEMICALS GROUP BHD,B5KQGT3,"127,036","237,229",0.01%
PEXA GROUP LTD,BMD0WJ3,"10,135","132,364",0.01%
PFIZER INC COM,2684703,"1,152","49,378",0.00%
PG&E CORP COM,2689560,372,"12,130",0.00%
PHILIP MORRIS INTERNAT NPV,B2PKRQ3,"10,468","2,034,852",0.10%
PHILIPS LIGHTING NV,BYY7VY5,"12,764","460,688",0.02%
PHILLIPS 66 COM USD0.01,B78C4Y8,93,"17,139",0.00%
PHOENIX GROUP HOLDINGS PLC PHNX,BGXQNP2,49,503,0.00%
PICC HOLDING CO-A,BDFS9G8,"23,877","40,028",0.00%
PIEDMONT LITHIUM LTD,BF1CV51,"234,685","34,029",0.00%
PILBARA MINERALS LTD PLS,B2368L5,"627,861","1,375,016",0.07%
PINEWOOD TECHNOLOGIES GROUP,BSB7BS0,"19,752","143,431",0.01%
PING AN BANK CO LTD-A,BD5CPS4,128,329,0.00%
PING AN INSURANCE GROUP CO-A,BP3R284,"50,018","579,356",0.03%
PING AN INSURANCE GROUP CO-H,B01FLR7,"150,701","1,442,919",0.07%
PINNACLE INVESTMENT MANAGEME PNI,BD0F7H1,"41,066","938,368",0.05%
PINTEREST INC- CLASS A PINS,BJ2Z0H2,111,"5,212",0.00%
PIRAEUS FINANCIAL HOLDINGS S,BNC0DB0,"5,307","34,174",0.00%
PKO BANK POLSKI SA PLN1,B03NGS5,"17,444","407,612",0.02%
PNC FINL SVCS GROUP IN COM,2692665,486,"151,351",0.01%
POLYNOVO LTD,BSJBZM6,119,242,0.00%
POP MART INTERNATIONAL GROUP,BN6PP37,"23,598","439,872",0.02%
PORSCHE AUTOMOBIL HLDG-PRF,7101069,32,"1,948",0.00%
POSTLE ITALIANE SPA PST,BYYN701,85,"1,936",0.00%
POWER ASSETS HOLDINGS LTD,6435327,315,"3,553",0.00%
POWER CORP CDA COM,2697701,151,"7,585",0.00%
POWER GRID CORP OF INDIA LTD,B233HS6,"67,032","390,358",0.02%
PPG INDS INC COM,2698470,"2,300","443,690",0.02%
PPL CORP COM,2680905,195,"10,205",0.00%
PRADA SPA EUR0.1,B4PFFW4,"29,587","370,029",0.02%
PRAIRIESKY ROYALTY LTD PSK,BN320L4,"7,678","241,692",0.01%
PREMIER INVESTMENTS LIMITED NPV,6699781,"10,833","348,053",0.02%
PRIMARIUS TECHNOLOGIES CO -A,CNE1000055M9 (ISIN),576,"2,395",0.00%
PRINCIPAL FINANCIAL GR COM,2803014,48,"6,001",0.00%
PRO MEDICUS LTD PME,6292782,"4,197","1,049,779",0.05%
PROCTER & GAMBLE CO COM,2704407,494,"133,880",0.01%
PROGRESS SOFTWARE CORP COM USD0.01,2705198,"2,688","282,831",0.01%
PROGRESSIVE CORP OHIO COM,2705024,118,"45,824",0.00%
PROLOGIS INC,B44WZD7,197,"33,706",0.00%
PROLOGIS PROPERTY MEXICO SA FIBRAPL,BN56JP1,"54,353","244,496",0.01%
PROPEL FUNERAL PARTNERS LTD,BYWQNJ3,"28,810","169,115",0.01%
PROSUS PRX,BJDS7L3,320,"20,513",0.00%
PROYA COSMETICS CO LTD-A,BKM3FN4,"9,721","181,144",0.01%
PRUDENTIAL FINL INC COM,2819118,89,"16,985",0.00%
PRUDENTIAL PLC,709954,"3,614","46,566",0.00%
PRYSMIAN SPA NPV,B1W4V69,52,"5,348",0.00%
PTC INC COM USD0.01,B95N910,"1,295","384,625",0.02%
PUBLIC BANK BHD,B012W42,"268,511","442,261",0.02%
PUBLIC STORAGE COM USD0.10,2852533,30,"14,461",0.00%
PUBLIC SVC ENTERPRISE COM,2707677,105,"14,373",0.00%
PUBLICIS GROUPE ACT,4380429,47,"8,174",0.00%
PULTE GROUP INC,2708841,38,"6,597",0.00%
PUMA SE,5064722,64,"4,756",0.00%
PURE STORAGE INC - CLASS A PSTG,BYZ62T3,67,"6,674",0.00%
PYC THERAPEUTICS LTD,B06NPT6,"39,645","52,331",0.00%
PYLON TECHNOLOGIES CO LTD-A,BQ3RX88,"3,248","28,618",0.00%
QANTAS AIRWAYS LIMITED,6710347,"511,295","4,586,317",0.22%
QBE INSURANCE GROUP LTD,6715740,"323,368","6,208,667",0.30%
QIAGEN N.V.,BMHCW17,26,"1,907",0.00%
QORIA LTD,BMXLP20,"129,835","63,619",0.00%
QORVO INC,BR9YYP4,16,"1,755",0.00%
QUALCOMM INC,2714923,647,"160,648",0.01%
QUANTA COMPUTER INC,6141011,"15,167","214,448",0.01%
QUANTA SERVICES INC COM USD0.00001,2150204,30,"15,248",0.00%
QUBE HOLDINGS LTD,B1L4BC6,"489,086","1,941,671",0.09%
QUEBECOR INC  -CL B CLASS'B'SUB VTG NPV,2715777,64,"2,259",0.00%
QUECTEL WIRELESS SOLUTIONS-A,BK71FL1,"1,885","28,379",0.00%
QUEENSLAND PACIFIC METALS LTD,AU0000122251 (ISIN),"85,970",0,0.00%
QUEST DIAGNOSTICS COM,2702791,22,"5,277",0.00%
RAKUTEN GROUP INC,6229597,578,"5,103",0.00%
RAMELIUS RESOURCES LTD NPV,6586872,"52,719","109,129",0.01%
RAMSAY HEALTH CARE LIMITED SHS,6041995,"26,196","904,824",0.04%
RANDSTAD HOLDING NV,5228658,13,885,0.00%
RATIONAL AG NPV,5910609,1,"1,488",0.00%
RAYMOND JAMES FINANCIAL INC COM,2718992,45,"11,218",0.00%
RB GLOBAL INC,BMWGTH9,47,"6,776",0.00%
REA GROUP LIMITED,6198578,"11,718","2,733,850",0.13%
READYTECH HOLDINGS LTD,BJQP1P3,"37,976","117,726",0.01%
REALIA BUSINESS SA ORD EUR0.24,B1YJJX5,"25,570","43,621",0.00%
REALTY INCOME CORP COM USD1,2724193,158,"13,660",0.00%
RECKITT BENCKISER GROUP PLC,B24CGK7,134,"13,131",0.00%
RECORDATI SPA EUR0.5,B07DRZ5,41,"3,459",0.00%
RECRUIT HOLDINGS CO LTD 6098,BQRRZ00,"3,588","411,008",0.02%
REDEIA CORP SA,BD6FXN3,33,919,0.00%
REDOX LTD/AUSTRALIA,BQ81P89,"34,949","159,369",0.01%
REECE LTD,6728801,"14,334","320,797",0.02%
REGENCY CENTERS CORP COM USD0.01,2726177,33,"3,920",0.00%
REGENERON PHARMACEUTIC COM,2730190,25,"28,833",0.00%
REGION GROUP,BPBMY63,"275,550","570,388",0.03%
REGIONS FINL CORP COM,B01R311,214,"8,126",0.00%
REGIS HEALTHCARE LTD,BQV68F9,"24,790","148,743",0.01%
REGIS RESOURCES LTD NPV,6476542,"42,301","107,868",0.01%
RELIANCE INC,2729068,859,"373,748",0.02%
RELIANCE INDUSTRIES LTD,6099626,"41,703","956,208",0.05%
RELIANCE WORLDWIDE CORP LTD RWC,BD1DM79,"173,985","873,406",0.04%
RELX PLC,B2B0DG9,379,"27,794",0.00%
REMY COINTREAU,4741714,"3,575","349,166",0.02%
RENAULT SA,4712798,88,"6,958",0.00%
RENESAS ELECTRONICS CORP,6635677,314,"6,602",0.00%
RENEWI PLC,BNR4T86,"34,682","567,540",0.03%
RENTOKIL INITIAL PLC,B082RF1,603,"4,891",0.00%
REPLIGEN CORP COM USD0.01,2731654,"2,058","478,497",0.02%
REPSOL SA,5669354,327,"6,399",0.00%
REPUBLIC SVCS INC COM,2262530,43,"14,008",0.00%
RESMED INC COM USD0.004,2732903,871,"321,829",0.02%
RESMED INC-CDI RESMED INC-CDI,6221667,"153,962","5,661,165",0.28%
RESOLUTE MINING LTD NPV,6410636,"86,135","34,023",0.00%
RESONA HOLDINGS INC NPV,6421553,675,"7,941",0.00%
RESTAURANT BRANDS INTERN QSR,BTF8CF0,60,"6,282",0.00%
REVVITY INC,2305844,27,"4,808",0.00%
REXEL SA EUR5,B1VP0K0,18,757,0.00%
REYSAS GAYRIMENKUL YATIRIM O,B3VKHD1,"93,753","72,798",0.00%
REYSAS TICARET AS,B0YBSZ9,"65,966","67,913",0.00%
RH,BYXR425,318,"201,899",0.01%
RICHARD PIERIS & CO PLC RICH,6737603,"93,297","13,166",0.00%
RICOH COMPANY LIMITED,6738220,130,"2,428",0.00%
RIDLEY CORPORATION LIMITED SHS,6738929,"10,931","29,512",0.00%
RIGHTMOVE PLC,BGDT3G2,"28,912","375,340",0.02%
RINNAI CORPORATION,6740582,"2,327","77,926",0.00%
RIO TINTO LTD NPV,6220103,"40,189","4,720,637",0.23%
RIO TINTO PLC - REG,718875,"2,545","243,154",0.01%
RIVIAN AUTOMOTIVE INC-A,BL98841,"19,897","427,400",0.02%
RLX TECHNOLOGY INC-ADR,BMBKL76,"8,854","30,890",0.00%
ROBINHOOD MARKETS INC - A,BP0TQN6,123,"7,410",0.00%
ROBINSONS RETAIL HOLDINGS INC,BFTCYP4,"14,363","14,438",0.00%
ROBLOX CORP -CLASS A,BMWBC20,"7,962","744,098",0.04%
ROCHE HOLDING AG-BEARER AKT,7108918,12,"5,597",0.00%
ROCHE HOLDING AG-GENUSSCHEIN,7110388,"2,097","955,068",0.05%
ROCKCHIP ELECTRONICS CO L-A,BL58MB0,"1,439","34,841",0.00%
ROCKWELL AUTOMATION IN COM,2754060,917,"423,245",0.02%
ROCKWOOL A/S,4713490,1,797,0.00%
ROGERS COMMUNICATIONS INC-B,2169051,"1,835","91,072",0.00%
ROKU INC ROKU,BZ1LFG7,24,"2,940",0.00%
ROLLINS INC COM USD1,2747305,55,"4,084",0.00%
ROPER TECHNOLOGIES INC,2749602,19,"16,021",0.00%
ROSS STORES INC COM,2746711,65,"15,800",0.00%
ROX RESOURCES LTD,B00GBJ3,"260,657","52,131",0.00%
ROYAL BANK OF CANADA COM,2754383,295,"57,483",0.00%
ROYAL CARIBBEAN CRUISES LTD COM,2754907,44,"16,419",0.00%
ROYALTY PHARMA PLC- CL A,BMVP7Y0,70,"2,891",0.00%
RPM INC/OHIO COM,2756174,20,"4,004",0.00%
RS GROUP PLC,309644,"22,980","316,790",0.02%
RWE AG,4768962,"1,471","70,917",0.00%
RYAN SPECIALTY HOLDINGS INC,BNXKSK3,"2,568","266,128",0.01%
RYANAIR HOLDINGS PLC-SP ADR,BYYN585,"5,564","391,698",0.02%
S F HOLDING CO LTD-A,BD73M39,"13,292","117,848",0.01%
S&P GLOBAL INC,BYV2325,"2,085","1,676,778",0.08%
SAAB AB-B,BPXZH27,37,"1,267",0.00%
SAGA PLC,BMX64W8,"50,575","123,377",0.01%
SAGAX AB-B SAGAB,B9M3PK4,52,"1,719",0.00%
SAGE GROUP PLC/THE,B8C3BL0,297,"7,659",0.00%
SAIC MOTOR CORPORATION LTD-A,BP3R2D9,"7,178","32,784",0.00%
SAINSBURYS J P L C ORD,B019KW7,275,"1,521",0.00%
SALESFORCE INC,2310525,194,"104,987",0.01%
SALMAR ASA NOK0.25,B1W5NW2,31,"2,361",0.00%
SAMPO OYJ-A SHS,BMXX645,63,"4,179",0.00%
SAMSARA INC-CL A,BPK3058,"13,514","953,635",0.05%
SAMSUNG C&T CORP,BSXN8K7,"1,559","196,349",0.01%
SAMSUNG E&A CO LTD,6765239,"4,600","83,519",0.00%
SAMSUNG ELECTR-GDR 144A GDR REP 1/2 ORD,B01D632,279,"409,860",0.02%
SAMSUNG ELECTRO MECHANICS,6771689,"3,695","501,864",0.02%
SAMSUNG ELECTRONICS CO LTD,6771720,"37,688","2,199,713",0.11%
SAMSUNG ELECTRONICS-PFD NV,6773812,"4,342","210,540",0.01%
SAMSUNG SDI CO LTD,6771645,"1,437","390,233",0.02%
SANDFIRE RESOURCES LTD,6739739,"132,999","1,234,232",0.06%
SANDOZ GROUP AG,BLPLD38,85,"5,660",0.00%
SANDS CHINA LTD,B5B23W2,"65,140","283,068",0.01%
SANDVIK AB ORD,B1VQ252,226,"6,560",0.00%
SANGFOR TECHNOLOGIES INC-A,BHQPS70,"1,222","15,435",0.00%
SANLAM LTD SLM,B0L6750,"35,288","262,405",0.01%
SANOFI SYNTHELABO,5671735,214,"33,481",0.00%
SANSURE BIOTECH INC-A,CNE1000043J1 (ISIN),121,603,0.00%
SANTANA MINERALS LTD NPV,B9J8CP6,"116,028","56,274",0.00%
SANTOS LIMITED NPV,6776703,"709,920","4,742,268",0.23%
SANY HEAVY INDUSTRY CO LTD-A,BP3R3H0,"1,257","4,557",0.00%
SAP SE,4846288,"2,269","896,845",0.04%
SAPUTO INC,2112226,38,"1,056",0.00%
SARTORIUS AG-VORZUG SRT3,5843329,"1,438","517,705",0.03%
SARTORIUS STEDIM BIOTECH,BYZ2QP5,6,"1,830",0.00%
SAYONA MINING LTD,BBX4LR9,"1,232,094","33,267",0.00%
SBA COMMUNICATIONS CORP-CL A,BZ6TS23,25,"8,121",0.00%
SBERBANK-SPONSORED ADR,B5SC091,"5,309",0,0.00%
SBI HOLDINGS INC,6309466,55,"2,243",0.00%
SCB X PCL-FOREIGN,BPH0717,"9,713","53,834",0.00%
SCENTRE GROUP SMART COMMUNICATIONS GROUP,BLZH0Z7,"331,878","1,138,342",0.06%
SCHINDLER HOLDING AG-REG CHF0.1(REGD)(PO,B11WWH2,-1,-249,0.00%
SCHINDLER HOLDING-PART CERT PTG CERT CHF,B11TCY0,13,"5,615",0.00%
SCHLUMBERGER LTD COM,2779201,271,"16,771",0.00%
SCHNEIDER ELECTRIC SE,4834108,116,"46,649",0.00%
SCHRODERS PLC,BP9LHF2,-19,-126,0.00%
SCHWAB CHARLES CORP NE COM,2779397,"7,380","882,134",0.04%
SCORPIO TANKERS INC,BHXD297,"1,206","96,827",0.00%
SCOUT24 SE,BYT9340,8,"1,105",0.00%
SCP POOL CORP COM,2781585,570,"314,060",0.02%
SCREEN HOLDINGS CO LTD,6251028,16,"1,541",0.00%
SCSK CORP,6858474,-15,-497,0.00%
SD GUTHRIE BD,BF6RHY2,"25,405","45,422",0.00%
SDIC ESSENCE HOLDINGS CO L-A,BYYFJ78,"8,655","14,318",0.00%
SEA LTD-ADR SE,BYWD7L4,"8,624","1,477,862",0.07%
SEADRILL LIMITED,BNTBRX6,"3,208","201,686",0.01%
SEAGATE TECHNOLOGY HOLDINGS,BKVD2N4,707,"98,501",0.00%
SEB SA EUR3,4792132,0,12,0.00%
SECOM CO LTD,6791591,"3,420","188,688",0.01%
SECURITAS AB-B SHS,5554041,192,"3,850",0.00%
SEEK LTD NPV,B0767Y3,"95,170","2,147,994",0.10%
SEGRO PLC ORD GBP0.27083333,B5ZN1N8,172,"2,444",0.00%
SEI INVESTMENTS COMPANY COM USD0.01,2793610,15,"1,986",0.00%
SEIKO EPSON CORP,6616508,29,855,0.00%
SEKISUI CHEMICAL CO,6793821,82,"2,301",0.00%
SEKISUI HOUSE LTD SHS,6793906,88,"3,408",0.00%
SEKISUI JUSHI CORP NPV,6793843,"4,320","94,264",0.00%
SELECT HARVESTS LIMITED NPV,6260723,"53,833","228,792",0.01%
SEMBCORP INDUSTRIES LIMITED,B08X163,225,"1,473",0.00%
SEMPRA ENERGY COM,2138158,126,"17,832",0.00%
SENDAS DISTRIBUIDORA SA,BMZ9R04,"188,998","278,185",0.01%
SERVICE CORP INTL COM,2797560,"6,409","826,264",0.04%
SERVICE STREAM LTD NPV,B04KLG8,"161,474","251,900",0.01%
SERVICENOW INC COM USD0.001,B80NXX8,88,"151,293",0.01%
SEVEN & I HOLDINGS CO LTD NPV,B0FS5D6,436,"11,140",0.00%
SEVERN TRENT PLC,B1FH8J7,141,"7,175",0.00%
SG HOLDING CO LTD,BFFY885,227,"3,517",0.00%
SGH LTD,AU0000364754 (ISIN),"46,077","2,124,630",0.10%
SGS SA-REG,CH1256740924,30,"4,865",0.00%
SHANDONG HIMILE MECHANICAL-A 'A'CNY1,BD5CFQ2,"8,780","96,942",0.00%
SHANDONG HI-SPEED CO LTD -A,BP3R745,"27,219","61,558",0.00%
SHANDONG LINGLONG TYRE CO -A,BYW5N12,"9,174","36,409",0.00%
SHANDONG NANSHAN ALUMINUM-A,BP3R9D8,"243,188","209,189",0.01%
SHANDONG PUBLISHING & MEDI-A,BFYQHB8,"12,942","32,316",0.00%
SHANGHAI CONSTRUCTION CO-A,BP3R6J3,"47,784","27,858",0.00%
SHANGHAI HIUV NEW MATERIAL-A,CNE100004BY5 (ISIN),108,803,0.00%
SHANGHAI JUNSHI BIOSCIENCE-A,BLCD7F7,"1,355","8,149",0.00%
SHANGHAI PHARMACEUTICALS-A,BP3R4Z5,"6,484","29,954",0.00%
SHANGHAI PUDONG DEVEL BANK-A,BP3R2B7,"97,747","221,278",0.01%
SHANGHAI SMI HOLDING CO LTD,CNE0000005R5 (ISIN),"2,718","2,661",0.00%
SHANGHAI V-TEST SEMICONDUC-A,CNE100005NK6 (ISIN),736,"9,481",0.00%
SHANGHAI ZHENHUA HEAVY IND-A,CNE000001683 (ISIN),"2,145","1,849",0.00%
SHELF DRILLING LTD,BDVKB40,"31,280","41,880",0.00%
SHELL PLC-NEW,BP6MXD8,"3,952","197,936",0.01%
SHENNAN CIRCUITS CO LTD-A,BFY8GV7,"1,356","37,279",0.00%
SHENZHEN CHIPSCREEN BIOSCI-A,CNE100003LW0 (ISIN),432,"1,767",0.00%
SHENZHEN INOVANCE TECHNOLO-A,BD5CMN8,"14,052","181,093",0.01%
SHENZHEN JPT OPTO-ELECTRON-A,CNE1000062T0 (ISIN),81,843,0.00%
SHENZHEN MINDRAY BIO-MEDIC-A,BHQK864,"3,460","194,098",0.01%
SHENZHEN SUNLORD ELECTRONI-A,BD5C841,"1,264","8,753",0.00%
SHERWIN WILLIAMS CO COM,2804211,48,"26,603",0.00%
SHIMADZU CORPORATION,6804369,55,"2,514",0.00%
SHIMANO INC SHIMANO INC,6804820,17,"3,819",0.00%
SHIN ETSU CHEMICAL CO LTD,6804585,357,"19,430",0.00%
