Hostplus Superannuation Fund,,,,
HC Defensive Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
BANCO SANTANDER CENTRA,5705946,69,515,0.00%
BANCOLOMBIA S.A.-SPONS ADR SPON ADR REPR,2082567,37,"1,864",0.00%
BANDAI NAMCO HOLDINGS INC,B0JDQD4,1,54,0.00%
BANGKOK BANK-FOR REG,6077019,74,530,0.00%
BANGKOK DUSIT MED SERVICE-F THB1(ALIEN),BLZGSM7,701,814,0.00%
BANK CENTRAL ASIA TBK,B01C1P6,"13,439","13,048",0.02%
BANK HAPOALIM BM ILS1,6075808,3,60,0.00%
BANK LEUMI LE-ISRAEL ILS1,6076425,2,37,0.00%
BANK MANDIRI TBK PT,6651048,"2,092","1,196",0.00%
BANK MONTREAL QUE COM,2076009,1,218,0.00%
BANK NEGARA INDONESIA (PERSERO) TBK,6727121,"1,562",682,0.00%
BANK NOVA SCOTIA HALIF COM,2076281,2,201,0.00%
BANK OF AMERICA CORP,2295677,236,"16,754",0.03%
BANK OF BEIJING CO LTD -A,BP3R2W8,72,97,0.00%
BANK OF CHONGQING CO LTD-A,CNE100004C60 (ISIN),85,173,0.00%
BANK OF GEORGIA GROUP PLC,BF4HYT8,12,"1,131",0.00%
BANK OF IRELAND GROUP PLC BIRG,BD1RP61,21,304,0.00%
BANK OF JIANGSU CO LTD-A,BYW5MY8,276,596,0.00%
BANK OF NEW YORK MELLON CORP,B1Z77F6,2,217,0.00%
BANK OF NINGBO CO LTD -A,BD5CP06,29,153,0.00%
BANK OF QUEENSLAND LTD,6076243,611,"4,093",0.01%
BANK RAKYAT INDONESIA PERSER,6709099,"9,119","3,734",0.01%
BANK ST PETERSBURG PJSC BSPB,B596R68,229,0,0.00%
BANK SYARIAH INDONESIA TBK P,BFY6H41,"1,468",402,0.00%
BANNERMAN ENERGY LTD,B07DXJ1,442,"1,282",0.00%
BANQUE CANTONALE VAUDOIS-REG,BMFY8R3,0,0,0.00%
BAOSHAN IRON & STEEL CO-A,BP3R2Y0,463,713,0.00%
BAPCOR LTD,BLD2CY7,"3,015","14,229",0.03%
BARCLAYS,3134865,447,"2,423",0.00%
BARRATT REDROW PLC,81180,39,345,0.00%
BARRICK GOLD CORP COM,2024644,3,87,0.00%
BARRY CALLEBAUT AG CHF100(REGD),5476929,0,6,0.00%
BASF SE,5086577,6,412,0.00%
BAXTER INTL INC COM,2085102,1,53,0.00%
BAYERISCHE MOTOREN WERKE-PFD NON VTG PRF,5756030,0,5,0.00%
BCE INC COM,B188TH2,0,4,0.00%
BE SEMICONDUCTOR INDUSTRIES,BG0SCK9,46,"10,171",0.02%
BEACH ENERGY LTD,6088204,"6,316","8,811",0.02%
BEACON LIGHTING GROUP LTD,BKXF175,609,"1,858",0.00%
BECHTLE AG NPV,5932409,0,4,0.00%
BECTON DICKINSON AND CO,2087807,18,"6,567",0.01%
BEGA CHEESE LTD NPV,B56CQJ5,303,"1,746",0.00%
BEIERSDORF AG BEIERSDORF AG,5107401,60,"12,466",0.02%
BEIGENE LTD-A,BNHPM91,53,"1,878",0.00%
BEIGENE LTD-ADR,BYYWPW6,19,"5,539",0.01%
BEIJER REF AB,BP2NJ48,1,14,0.00%
BEIJING CAPITAL CO LTD-A,BP3R7K1,686,495,0.00%
BEIJING KINGSOFT OFFICE SO-A,BNR4NQ2,2,107,0.00%
BEIJING NEW BUILDING MATER-A,BD5CJ26,63,418,0.00%
BEIJING ORIENTAL YUHONG-A,BD5CFP1,30,86,0.00%
BEIJING SEEYON INTERNET SO-A,BNHPN43,9,39,0.00%
BEIJING ULTRAPOWER SOFTWARE-A,BD5CLJ7,220,561,0.00%
BELLEVUE GOLD LTD BGL,BFZ31P0,"2,173","2,444",0.00%
Beluga Group PJSC,B57QZY4,73,0,0.00%
BENDIGO AND ADELAIDE BANK,6091280,352,"4,617",0.01%
BENTLEY SYSTEMS INC-CLASS B BSY,BMC1PR6,1,41,0.00%
BERKELEY GROUP HOLDINGS/THE,BP0RGD0,1,76,0.00%
BERKLEY W R CORP COM,2093644,1,55,0.00%
BERKSHIRE HATHAWAY INC-CL B CLASS'B'COM,2073390,11,"7,942",0.01%
BEST BUY INC COM,2094670,0,50,0.00%
BESTECHNIC SHANGHAI CO LTD-A,BNHPNS7,1,55,0.00%
BETMAKERS TECHNOLOGY GROUP L BET,BJDXBQ1,"2,060",216,0.00%
BHARTI AIRTEL LIMITED,6442327,227,"6,785",0.01%
BHP GROUP LTD,6144690,"4,512","178,448",0.33%
BID CORP LTD BID,BZBFKT7,23,857,0.00%
BIOGEN INC,2455965,0,72,0.00%
BIOMARIN PHARMACEUTICAL INC COM USD0.001,2437071,0,47,0.00%
BIOMERIEUX,BF0LBX7,0,26,0.00%
BIONTECH SE-ADR,BK6H543,36,"6,618",0.01%
BIO-RAD LABORATORIES-A,2098508,3,"1,743",0.00%
BIO-TECHNE CORP,BSHZ3Q0,1,76,0.00%
BIO-THERA SOLUTIONS LTD-A,CN1000001000 (ISIN),5,22,0.00%
BIZLINK HOLDING INC 3665,B5SG8Y4,69,"2,084",0.00%
BJ'S WHOLESALE CLUB HOLDINGS BJ,BFZNZF8,26,"3,823",0.01%
BKW AG CHF2.50,B76D410,0,19,0.00%
BLACKROCK FUNDING INC/DE,US09290D1019 (ISIN),0,510,0.00%
BLACKSTONE GROUP INC/THE,BKF2SL7,1,406,0.00%
BLOCK INC,BYNZGK1,30,"4,056",0.01%
BLOCK INC - CDI,BMHJ8W1,336,"47,303",0.09%
BLUESCOPE STEEL LTD,6533232,917,"17,136",0.03%
BMW,5756029,1,101,0.00%
BNP PARIBAS S.A.,7309681,2,217,0.00%
BOC HONG KONG HOLDINGS LTD,6536112,10,51,0.00%
BOE TECHNOLOGY GROUP CO LT-A,BD5CPL7,695,672,0.00%
BOLIDEN AB,BPYTZ57,1,30,0.00%
BOLLORE SE,4572709,1,6,0.00%
BOMBARDIER INC-B,BN33PL2,13,"1,467",0.00%
BOOHOO.COM PLC BOO,BG6L729,875,596,0.00%
BOOKING HOLDINGS INC,BDRXDB4,5,"37,169",0.07%
BOSS RESOURCES LTD BOE,B1XLCQ6,587,"1,425",0.00%
BOSTON SCIENTIFIC CORP COM,2113434,3,493,0.00%
BOUYGUES SA,4002121,1,24,0.00%
BP PLC SHS,798059,89,706,0.00%
BRAMBLES LTD NPV,B1FJ0C0,"1,969","37,892",0.07%
BRENNTAG SE,B4YVF56,1,128,0.00%
BREVILLE GROUP LTD,6158709,423,"14,970",0.03%
BRICKWORKS LIMITED,6315593,0,-4,0.00%
BRIDGESTONE CORP COM,6132101,1,51,0.00%
BRISTOL MYERS SQUIBB C COM,2126335,4,399,0.00%
BRITISH AMERICAN TOBAC ORD,287580,51,"2,976",0.01%
BROADCOM INC,BDZ78H9,41,"15,307",0.03%
BROADRIDGE FINANCIAL SOL-W/I COM STK USD,B1VP7R6,13,"4,714",0.01%
BROTHER INDUSTRIES LTD,6146500,0,3,0.00%
BROWN & BROWN INC COM,2692687,1,89,0.00%
BROWN-FORMAN CORP -CL B CL B,2146838,1,45,0.00%
BT GROUP PLC,3091357,18,52,0.00%
BUILDERS FIRSTSOURCE INC COM USD0.01,B0BV2M7,0,57,0.00%
BUKIT DARAH PLC,6151667,39,126,0.00%
BUNGE GLOBAL SA,BQ6BPG9,0,33,0.00%
BUNZL PLC BUNZL PLC,B0744B3,60,"3,968",0.01%
BUREAU VERITAS SA EUR0.12,B28DTJ6,0,16,0.00%
BURLINGTON STORES INC BURL,BF311Y5,0,71,0.00%
BWP TRUST,6127453,156,511,0.00%
BXP INC,2019479,0,26,0.00%
BYD CO LTD -A,BD5CQ69,18,"1,095",0.00%
BYD CO LTD-H,6536651,16,870,0.00%
C.H. ROBINSON WORLDWIDE INC COM USD0.1,2116228,0,37,0.00%
CADENCE DESIGN SYSTEM COM,2302232,7,"3,389",0.01%
CAESARS ENTERTAINMENT INC,BMWWGB0,8,453,0.00%
CAITONG SECURITIES CO LTD-A,BFY9KS5,32,57,0.00%
CAIXIABANK,B283W97,61,533,0.00%
CAMDEN PROPERTY TRUST SBI USD0.01,2166320,0,57,0.00%
CAN APARTMENT PROP REAL ESTA,2117599,0,9,0.00%
CANADIAN NAT RES LTD COM,2171573,77,"3,844",0.01%
CANADIAN NATL RY CO COM,2180632,1,192,0.00%
CANADIAN PACIFIC KANSAS CITY,CA13645T1003,2,225,0.00%
CANADIAN TIRE CORP-CLASS A,2172286,0,12,0.00%
CANADIAN UTILITIES LTD A CLASS'A'COM NON,2172639,0,10,0.00%
