Hostplus Superannuation Fund,,,,
HC Defensive Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
KUEHNE & NAGEL INTL AG-REG CHF1(REGD)(PO,B142S60,0,44,0.00%
KWEICHOW MOUTAI CO LTD-A,BP3R2F1,23,"7,579",0.01%
KYOCERA CORP ORD,6499260,46,749,0.00%
KYOTO FINANCIAL GROUP INC,BMV4NR2,64,"1,519",0.00%
KYOWA KIRIN CO LTD,6499550,2,49,0.00%
LA FRANCAISE DES JEUX SAEM FDJ,BG0SC10,0,19,0.00%
LABCORP HOLDINGS INC,BSBK800,0,75,0.00%
LAM RESEARCH CORP,US5128073062 (ISIN),13,"1,487",0.00%
LAMB WESTON HOLDING INC LW-W,BDQZFJ3,0,31,0.00%
LAND SECURITIES GROUP PLC,BYW0PQ6,1,9,0.00%
LARGAN PRECISION CO LTD,6451668,19,"2,568",0.00%
LAS VEGAS SANDS CORP COM USD0.001,B02T2J7,1,64,0.00%
LASERTEC CORPORATION LASERTEC CORPORATIO,6506267,0,31,0.00%
LAUDER ESTEE COS INC CL A,2320524,0,60,0.00%
LEAR CORP,B570P91,31,"4,675",0.01%
LEG IMMOBILIEN AG NPV,B9G6L89,0,28,0.00%
LEGAL & GENERAL GROUP PLC,560399,10,46,0.00%
LEGEND UPSTAR HOLDINGS LTD,BYXGD92,"1,158",19,0.00%
LEGRAND LEGRAND,B11ZRK9,1,108,0.00%
Lendlease Group,AU000000LLC3 (ISIN),"3,574","22,265",0.04%
LENNAR CORP COM,2511920,1,114,0.00%
LENNOX INTERNATIONAL INC,2442053,0,58,0.00%
LENS TECHNOLOGY CO LTD-A,BD5CP17,128,619,0.00%
LENTA LTD-REG S LNTA,BJ621Y3,28,0,0.00%
LEO LITHIUM LTD,BPX2X20,"1,898",959,0.00%
LESAKA TECHNOLOGIES INC,B0B0WZ7,169,"1,475",0.00%
LG CHEM LTD,6346913,2,483,0.00%
LIBERTY BROADBAND-A LBRDA,BRTLBY3,0,15,0.00%
LIBERTY BROADBAND-C LBRDK,BRTLC06,1,74,0.00%
LIBERTY LATIN AMERICA-CL A-WI,BD9Q3P5,4,45,0.00%
LIBERTY LATIN AMERICA-CL-C-WI,BD9Q3Q6,6,60,0.00%
LIBERTY MEDIA CORP-LIBERTY-A,BPLYVQ8,0,35,0.00%
LIBERTY MEDIA CORP-LIBERTY-C,BPLYVR9,0,53,0.00%
LIBERTY MEDIA CORP-LIB-NEW-A,BPLYVM4,0,37,0.00%
LIBERTY MEDIA CORP-LIB-NEW-C,BPLYVN5,6,882,0.00%
LIC HOUSING FINANCE LTD,6101026,119,"1,343",0.00%
LIFCO AB-B SHS,BL6K7K9,0,23,0.00%
LIFE360 INC-CDI,BJMXQ67,636,"14,332",0.03%
LIFESTYLE COMMUNITIES LTD NPV,6137195,93,794,0.00%
LIGHT & WONDER INC-CDI,BMXNX11,105,"14,461",0.03%
LINAMAR CORP COM NPV,2516022,65,"4,114",0.01%
LINDE PLC,BNZHB81,1,699,0.00%
LINDT & SPRUENGLI AG-PC,5962280,0,61,0.00%
LINGYI ITECH GUANGDON-RIGHTS18NOV24,CNE1000015L5 (ISIN),0,0,0.00%
LINK REIT NPV,B0PB4M7,5,32,0.00%
LIONS GATE ENTERTAINMENT-B LGF/B,BD8NB53,0,0,0.00%
LIONTOWN RESOURCES LTD,B1J89V5,15,8,0.00%
LIVANOVA PLC LIVN,BYMT0J1,50,"3,751",0.01%
LIVE NATION ENTERTAINMENT INC,B0T7YX2,0,61,0.00%
LIVON PHARMACEUTICAL GROU-A,BD5CQ25,57,474,0.00%
LKQ CORP COM USD0.01,2971029,1,41,0.00%
LLOYDS BANKING GROUP PLC,870612,"1,884","2,088",0.00%
LOBLAW COS LTD COM,2521800,0,58,0.00%
LOEWS CORP COM,2523022,6,857,0.00%
LOGITECH INTERNATIONAL-REG CHF0.25(REGD),B18ZRK2,0,42,0.00%
LOJAS RENNER S.A. SHS,B0CGYD6,273,864,0.00%
LOMA NEGRA CIA IND-SPON ADR,BYP6YP3,43,833,0.00%
LOMON BILLIONS GROUP CO-A,BD5LS71,21,84,0.00%
LONDON STOCK EXCHANGE GROUP ORD GBP0.069,B0SWJX3,78,"17,760",0.03%
LONZA AG-REG,7333378,0,137,0.00%
LOOMIS AB-B,BMVB566,75,"3,690",0.01%
L'OREAL,4057808,1,291,0.00%
LOTTERY CORP/THE,BNRQW72,195,963,0.00%
LOTUS BAKERIES,4224992,0,6,0.00%
LOTUS RESOURCES LTD,BK6XLC1,"12,721","2,544",0.00%
LOUISIANA-PACIFIC CORP COM,2535243,16,"2,669",0.00%
LOVISA HOLDINGS LTD,BT9PVP0,127,"3,824",0.01%
LOWES COS INC COM,2536763,1,491,0.00%
LPL FINANCIAL HOLDINGS INC LPL FINANCIAL,B75JX34,0,81,0.00%
LSL PROPERTY SERVICES PLC ORD GBP0.002,B1G5HX7,27,163,0.00%
LUCECO PLC LUCE,BZC0LP4,287,745,0.00%
LUFTHANSA AG,5287488,1,11,0.00%
LUKOIL 0AO-CLS,4560588,6,0,0.00%
LUKOIL PJSC-SPON ADR LKOD,BYZDW27,0,0,0.00%
LULULEMON ATHLETICA INC COM STK USD0.01,B23FN39,6,"3,696",0.01%
LUNDBERGS AB-B SHS SER'B'NPV,4538002,1,42,0.00%
LUNDIN MINING CORP COM NPV,2866857,2,32,0.00%
LUXSHARE PRECISION INDUSTR-A,BD5CN80,22,198,0.00%
LVMH MOET HENNESSY LOUIS VUITTON SE,4061412,6,"5,940",0.01%
LY CORPORATION,6084848,5,21,0.00%
LYNAS RARE EARTHS LTD,6121176,"2,931","18,846",0.03%
LYONDELLBASELL INDU-CL A COM USD0.01 CLA,B3SPXZ3,24,"2,858",0.01%
M & T BANK CORP COM,2340168,0,98,0.00%
M&C SAATCHI PLC ORD GBP0.01,B01F7T1,825,"2,838",0.01%
M&G PRUDENTIAL PLC MNG,BKFB1C6,4,16,0.00%
M3 INC,B02K2M3,1,17,0.00%
MA FINANCIAL GROUP LTD,BMYZBN4,220,"1,344",0.00%
MAAS GROUP HOLDINGS LTD,BLD4919,281,"1,346",0.00%
MACMAHON HOLDINGS LIMITED NPV,6551160,"9,919","3,422",0.01%
MACQUARIE GROUP LIMITED,B28YTC2,380,"84,129",0.16%
MACQUARIE TECHNOLOGY GROUP LTD,6175054,7,612,0.00%
MACROTECH DEVELOPERS LTD,BM9G370,62,"1,625",0.00%
MAGELLAN FINANCIAL GROU-CW27,BQ3SBX2,0,0,0.00%
MAGELLAN FINANCIAL GROUP LTD NPV,B015YX4,213,"2,366",0.00%
MAGNA INTL INC CL A,2554475,1,48,0.00%
MAGNETIC RESOURCES MAU,B1SDPL3,400,442,0.00%
MAGNITOGORSK IRON & STEEL MAGN,B5B1RP0,69,0,0.00%
MAGNOTEC LTD,B6S2SR2,467,86,0.00%
MAHINDRA & MAHINDRA LTD,6100186,38,"2,157",0.00%
MAJOR CINEPLEX GROUP-FOREIGN THB1(ALIEN,TH0671010Z16,688,479,0.00%
MAKEMYTRIP LTD USD0.0005,B552PC2,4,700,0.00%
MAKITA CORP SHS,6555805,5,261,0.00%
MALAYSIA AIRPORTS HLDGS BHD,6188193,"1,027","3,925",0.01%
MANAPPURAM FINANCE LTD,6570400,82,290,0.00%
MANHATTAN ASSOCIATES INC COM STK USD0.01,2239471,0,63,0.00%
MANULIFE FINANCIAL CORP COM,2492519,4,178,0.00%
MARATHON PETROLEUM COM USD0.01,B3K3L40,14,"3,197",0.01%
MARKEL CORP COM NPV,2566436,0,55,0.00%
MARKETAXESS HOLDINGS INC COM USD0.003,B03Q9D0,0,26,0.00%
MARKS & SPENCER GRP PL SHS,3127489,-3,-26,0.00%
MARRIOTT INTERNATIONAL -CL A,2210614,1,237,0.00%
MARSH & MCLENNAN COS,2567741,23,"7,789",0.01%
MARTIN MARIETTA MATERIALS,2572079,0,98,0.00%
MARUBENI CORP,6569464,3,85,0.00%
MARUTI SUZUKI INDIA LTD,6633712,44,"9,034",0.02%
MARVELL TECHNOLOGY INC,BNKJSM5,2,318,0.00%
MASCO CORP COM,2570200,9,"1,026",0.00%
MASTERCARD INC-CLASS A COM USD0.0001 CLA,B121557,2,"1,522",0.00%
MATCH GROUP INC,BK80XH9,1,29,0.00%
MATSUKIYOCOCOKARA & CO,B249GC0,1,12,0.00%
MAX HEALTHCARE INST LTD,INE027H01010 (ISIN),85,"1,809",0.00%
MBIA INC COM STK USD1,2547044,95,989,0.00%
MBK PCL,TH0480B10Z01 (ISIN),88,72,0.00%
MBK PCL-FOREIGN MBK/F,BFWRH57,"2,279","2,213",0.00%
MCCORMICK & CO INC COM NON VTG,2550161,0,53,0.00%
MCDONALDS CORP COM,2550707,2,711,0.00%
MCDONALD'S HOLDINGS CO JAPAN NPV,6371863,0,29,0.00%
MCKESSON CORP COM,2378534,0,252,0.00%
MCMILLAN SHAKESPEARE LTD NPV,B00G1Q0,4,53,0.00%
MCX LTD,B7L5LS7,7,801,0.00%
MD MEDICAL GROUP INVEST-REGS GDR(EACH RE,B8JZ5X9,18,0,0.00%
MEDIATEK INC,6372480,116,"8,088",0.01%
MEDIBANK PRIVATE LTD,BRTNNQ5,"2,184","8,279",0.02%
MEDIOBANCA SPA EUR0.5,4574813,0,6,0.00%
MEDTRONIC PLC,BTN1Y11,51,"6,629",0.01%
MEG ENERGY CORP COM NPV,B4XF9J1,1,28,0.00%
MEGAPORT LIMITED,BZ5ZWZ3,155,"1,144",0.00%
MEIJI HOLDINGS CO LTD NPV,B60DQV3,1,20,0.00%
MEITUAN-CLASS B,BGJW376,778,"24,525",0.05%
MELROSE INDUSTRIES PLC,GB00BNGDN821,211,"2,367",0.00%
MERCADOLIBRE INC COM STK USD0.001,B23X1H3,9,"25,475",0.05%
MERCEDES-BENZ GROUP AG,5529027,2,172,0.00%
MERCK & CO INC COM,2778844,5,865,0.00%
MERCK KGAA,4741844,0,68,0.00%
MERCURY NZ LTD,B8W6K56,2,12,0.00%
MERIDIAN ENER-PARTLY PAID SH MERIDIAN EN,BWFD052,2,8,0.00%
MESOBLAST LTD NPV,B04SF48,0,0,0.00%
META PLATFORMS INC-CLASS A,B7TL820,18,"17,292",0.03%
METALS ACQUISITION LTD-CDI,BS2KWR4,130,"2,243",0.00%
METCASH LTD NPV,B0744W4,"4,678","14,503",0.03%
METLIFE INC COM,2573209,1,183,0.00%
METRO INC -A CLASS'A'SUB VTG NPV,2583952,0,45,0.00%
METRO MINING LTD MMI,BTDBK35,"11,839",710,0.00%
METSO OUTOTEC OYJ,B1FN8X9,1,11,0.00%
METTLER-TOLEDO INTERNATIONAL COM STK USD,2126249,1,"2,881",0.01%
MGM RESORTS INTERNATIONAL,2547419,51,"2,878",0.01%
MICHELIN (CGDE),BPBPJ01,1,67,0.00%
MICHELMERSH BRICK HOLDINGS P MBH,B013H06,676,"1,360",0.00%
MICROCHIP TECHNOLOGY INC COM,2592174,6,544,0.00%
MICRON TECHNOLOGY INC,2588184,38,"5,106",0.01%
MICROSOFT CORP,2588173,89,"60,772",0.11%
MICROSTRATEGY INC-CL A COM CL'A' USD0.00,2974329,0,184,0.00%
MID-AMERICA APARTMENT COMM COM STK USD0.,2589132,0,99,0.00%
MIDEA GROUP CO LTD-A,BD5CPP1,120,"1,985",0.00%
MIDLAND HLDGS HKD0.10,6597700,882,154,0.00%
MILLICOM INTL CELLULAR-SDR SHS DEP RCT,B00L2M8,33,"1,322",0.00%
MINEBEA MITSUMI INC,6642406,1,31,0.00%
MINERAL RESOURCES LTD NPV,B17ZL56,402,"13,766",0.03%
MINOR INTERNATIONAL PCL-FOR THB1(ALIEN M,B018BZ4,560,689,0.00%
MINTH GROUP LTD,B0RJCG9,189,594,0.00%
MIRVAC GROUP STAPLED SECURITIES,6161978,"7,417","13,908",0.03%
MITSUBISHI CHEMICAL GROUP CO,B0JQTJ0,2,18,0.00%
MITSUBISHI CORP ORD,6596785,60,"1,610",0.00%
MITSUBISHI ELEC CORP,6597045,4,101,0.00%
MITSUBISHI ESTATE CO LTD,6596729,47,"1,059",0.00%
MITSUBISHI HC CAPITAL INC,6268976,1,8,0.00%
MITSUBISHI HEAVY INDS LTD,6597067,6,137,0.00%
MITSUBISHI UFJ FINANCIAL GRO NPV,6335171,23,438,0.00%
MITSUI & CO LTD ORD,6597302,5,180,0.00%
MITSUI CHEMICALS INC,6597368,0,6,0.00%
MITSUI FUDOSAN CO LTD,6597603,6,74,0.00%
MITSUI O.S.K. LINES LTD,6597584,1,33,0.00%
MIZRAHI TEFAHOT BANK LTD ILS0.01,6916703,1,59,0.00%
MIZUHO FINANCIAL GROUP INC,6591014,5,197,0.00%
MMC NORILSK NICKEL OJSC-RTS RUB1(RUB),7131431,28,0,0.00%
MMC NORILSK NICKEL PJSC,B5B1TX2,46,0,0.00%
MODERNA INC MRNA,BGSXTS3,54,"3,603",0.01%
MOHAWK INDUSTRIES INC COM,2598699,21,"4,123",0.01%
MOLINA HEALTHCARE INC COM,2212706,0,54,0.00%
MOLSON COORS BEVERAGE CO,B067BM3,0,32,0.00%
MONADELPHOUS GROUP LIMITED NPV,6600471,42,581,0.00%
MONASH IVF GROUP LTD MONASH IVF GROUP LT,BMSK748,"1,085","1,378",0.00%
MONCLER SPA,BGLP232,129,"10,981",0.02%
MONDAY.COM LTD,BMHRYX8,0,26,0.00%
MONDELEZ INTERNATIONAL INC,B8CKK03,3,265,0.00%
MONDI PLC,BMWC6P4,49,"1,185",0.00%
MONGODB INC MDB,BF2FJ99,0,51,0.00%
MONOLITHIC POWER SYSTEMS INC COM STK USD,B01Z7J1,0,91,0.00%
MONOTARO CO LTD MONOTARO CO,B1GHR88,82,"2,257",0.00%
MONSTER BEVERAGE CORP MNST,BZ07BW4,78,"6,661",0.01%
MONTAUK RENEWABLES INC,BMDMWB1,46,327,0.00%
MONTAUK RENEWABLES INC,BN6HHQ0,43,279,0.00%
MOODYS CORP COM,2252058,29,"22,441",0.04%
MORGAN STANLEY COM NEW,2262314,35,"7,030",0.01%
MOSAIC CO COM USD0.01,B3NPHP6,1,29,0.00%
MOTOR OIL (HELLAS) SA EUR0.3 (CR),5996234,38,"1,314",0.00%
MOTORCOMM ELECTRONIC TECHN-A,CNE100005ZK0 (ISIN),4,86,0.00%
MOTOROLA SOLUTIONS INC,B5BKPQ4,7,"5,179",0.01%
MOUNT GIBSON IRON LTD,6963743,"6,734","1,986",0.00%
MOWI ASA,B02L486,1,17,0.00%
MP MATERIALS CORP,BN15Y35,46,"1,152",0.00%
MS&AD INSURANCE GROUP HOLDIN,B2Q4CS1,20,711,0.00%
MSC INDUSTRIAL DIRECT CO-A CL A COM USD0,2567655,22,"2,711",0.01%
MSCI INC-A COM STK USD0.01 CLS'A',B2972D2,7,"6,930",0.01%
MTN GROUP LTD ZAR0.0001,6563206,129,"1,019",0.00%
MTR CORP,6290054,5,26,0.00%
MTU AERO ENGINES AG,B09DHL9,0,70,0.00%
MUENCHENER RUECKVER AG-REG,5294121,0,209,0.00%
MULTIPLAN EMPREENDIMENTOS COM NPV,B23DZG0,121,667,0.00%
MURATA MFG CO LTD,6610403,3,91,0.00%
MUYUAN FOODSTUFF CO LTD-A,BD5CJX7,29,246,0.00%
MYSTATE LTD NPV,B41XHK4,48,215,0.00%
NANOSONICS LTD NPV,B1WF979,514,"1,546",0.00%
NANYANG TOPSEC TECHNOLOGIE-A,BD73L76,77,110,0.00%
NASDAQ INC,2965107,1,108,0.00%
NASPERS LTD-N SHS,BN0VX82,5,"1,824",0.00%
NATIONAL AUSTRALIA BANK LTD,6624608,"1,907","70,745",0.13%
NATIONAL BANK OF CANADA COM,2077303,1,95,0.00%
NATIONAL BANK OF GREECE ETE,BG087C6,90,"1,154",0.00%
NATIONAL GRID PLC NG/LN,BDR05C0,13,252,0.00%
NATIONAL STORAGE REIT REIT UNITS,BGP6479,-3,-6,0.00%
NATWEST GROUP PLC,BM8PJY7,84,680,0.00%
NAURA TECHNOLOGY GROUP CO-A,BD5LYF1,8,673,0.00%
NAVER CORP,6560393,14,"3,032",0.01%
NEC CORP SHS,6640400,1,89,0.00%
NEMETSCHEK SE,5633962,0,28,0.00%
NESTE OIL OYJ NPV,B06YV46,104,"2,113",0.00%
NESTLE S A SHS,7123870,78,"10,435",0.02%
NETAPP INC,2630643,0,87,0.00%
NETEASE INC,BM93SF4,360,"10,350",0.02%
NETFLIX INC COM USD0.001,2857817,15,"21,057",0.04%
NETWEALTH GROUP LTD NWL,BF52PL1,397,"11,400",0.02%
NEUREN PHARMACEUTICALS LTD NEU,B04LVF0,122,"1,528",0.00%
NEUROCRINE BIOSCIENCES INC COM USD0.001,2623911,0,44,0.00%
NEW CHINA LIFE INSURANCE C-A,BP3R3F8,8,85,0.00%
NEW HOPE CORP LTD,6681960,"1,259","6,244",0.01%
NEW WORLD DEVELOPMENT,BM94GQ4,207,222,0.00%
NEWAY VALVE SUZHOU CO LTD-A,BS7K3W1,69,339,0.00%
NEWMONT  CORP,2636607,2,134,0.00%
NEWMONT CORP,BJYKTV2,0,6,0.00%
NEWMONT CORP-CDI,BRDVMB3,534,"31,808",0.06%
NEWS CORP - CLASS B- CDI,BD7SZP7,31,"1,532",0.00%
NEWS CORP/NEW-CL A-W/I NEWS CORP/NEW-CL,BBGVT40,1,56,0.00%
NEXGEN ENERGY LTD-CDR,BLR8K36,"1,957","21,160",0.04%
NEXI SPA NEXI,BJ1F880,360,"3,228",0.01%
NEXON CO LTD NPV,B63QM77,15,370,0.00%
NEXT PLC SHS,3208986,11,"2,052",0.00%
NEXTDC LTD NPV,B5LMKP4,894,"13,474",0.02%
NEXTERA ENERGY INC,2328915,4,517,0.00%
NIB HOLDINGS LTD NPV,B28ZM60,537,"2,944",0.01%
NIBE INDUSTRIER AB-B SHS,BN7BZM3,4,25,0.00%
NICE LTD,6647133,0,53,0.00%
NICK SCALI LTD NPV,B00VZV8,77,"1,158",0.00%
NICKEL INDUSTRIES LTD,BZ7NDP2,"10,383","8,566",0.02%
NIDEC CORP,6640682,2,52,0.00%
NIHON KOHDEN CORP NPV,6639970,3,61,0.00%
NIKE INC CL B,2640147,44,"5,347",0.01%
NINE ENTERTAINMENT CO HOLDIN NPV,BGQV183,"7,894","9,749",0.02%
NINESTAR CORP-A,BD5M2G1,10,64,0.00%
NINGBO SHANSHAN CO LTD-A,BP3RF63,102,168,0.00%
NINTENDO CORP LTD,6639550,48,"4,536",0.01%
NIPPON BUILDING FUND INC REIT,6396800,0,28,0.00%
NIPPON PAINT HOLDINGS CO LTD,6640507,2,25,0.00%
NIPPON SANSO HOLDINGS CORP,6640541,0,3,0.00%
NIPPON STEEL CORP,6642569,2,58,0.00%
NIPPON TELEGRAPH & TELEPHONE ORD,6641373,64,104,0.00%
NIPPON TELEVISION HOLDINGS INC,6644060,15,435,0.00%
NIPPON YUSEN KK,6643960,1,38,0.00%
NISOURCE INC COM,2645409,1,42,0.00%
NISSAN MOTOR CO LTD,6642860,4,21,0.00%
NISSIN FOODS HOLDINGS CO LTD,6641760,1,39,0.00%
NITORI CO LTD,6644800,0,28,0.00%
NITTO DENKO CORP,6641801,1,33,0.00%
NMC HEALTH PLC ORD GBP0.10,GB00B7FC0762,0,2,0.00%
NN GROUP NV - W/I NN GROUP NV - W/I,BNG8PQ9,1,63,0.00%
NOBLE CORP PLC,BN2QTL0,57,"2,906",0.01%
NOKIA OYJ,5902941,12,88,0.00%
NOMAD FOODS LTD NOMD,BQFJGK5,127,"3,448",0.01%
NOMURA HOLDINGS INC SHS,6643108,198,"1,894",0.00%
NOMURA RESEARCH INSTITUTE,6390921,1,48,0.00%
NORDEA BANK ABP NDA,BFM0SV9,8,141,0.00%
NORDSON CORP COM NPV,2641838,0,26,0.00%
NORFOLK SOUTHERN CORP COM,2641894,0,178,0.00%
NORSK HYDRO ASA,B11HK39,4,32,0.00%
NORTHAM PLATINUM HOLDINGS LT,BMZ1NS0,143,"1,190",0.00%
Northcape Capital Australia,MXP320321310 (ISIN),471,"6,500",0.01%
NORTHERN STAR RESOURCES LTD,6717456,"1,254","19,368",0.04%
NORTHERN TR CORP COM,2648668,1,109,0.00%
NOVARTIS AG-REG SHS,7103065,4,677,0.00%
NOVATEK OAO RUB0.1(USD),B19MY34,10,0,0.00%
NOVO NORDISK A/S-B,BP6KMJ1,7,973,0.00%
NOVONESIS (NOVOZYMES) B,B798FW0,1,82,0.00%
NOVONIX LTD,BYZ6CM6,215,158,0.00%
NRG ENERGY INC COM USD0.01,2212922,0,70,0.00%
NRW HOLDINGS LTD,B23XW70,734,"2,819",0.01%
NTT DATA GROUP CORP,6125639,2,51,0.00%
NU HOLDINGS LTD/CAYMAN ISL-A,BN6NP19,451,"7,543",0.01%
NUCOR CORP COM,2651086,1,98,0.00%
NUFARM LIMITED NUFARM LIMITED,6335331,"5,752","20,362",0.04%
NUIX LTD,BMW7P63,3,21,0.00%
NUTANIX INC - A NTNX,BYQBFT8,1,53,0.00%
NUTRIEN LTD,BDRJLN0,1,68,0.00%
NVIDIA CORP,2379504,286,"62,081",0.11%
NVR INC,2637785,0,74,0.00%
NXP SEMICONDUCTORS NV,B505PN7,1,181,0.00%
O.S.K. HOLDINGS BHD SHS,6655040,"2,070","1,331",0.00%
OAO GAZPROM-SPON ADR ADR REP 4 ORD RUB5,5140989,14,0,0.00%
OBAYASHI CORP Y50,6656407,3,60,0.00%
OBIC CO LTD,6136749,51,"2,455",0.00%
OBJECTIVE CORPORATION LTD OCL,6283407,63,"1,004",0.00%
OCCIDENTAL PETE CORP D COM,2655408,45,"3,625",0.01%
OCEANPAL INC,BRJVJ16,0,0,0.00%
OCEANPAL INC,MHY6430L2029 (ISIN),0,42,0.00%
ODFJELL DRILLING LTD ODL,BDX87W2,148,"1,081",0.00%
ODONTOPREV S.A. COM NPV,B1H6R62,169,479,0.00%
OFFSHORE OIL ENGINEERING-A,BP3R455,132,158,0.00%
OFX GROUP LTD,BFG1Q58,725,"1,026",0.00%
OKAMOTO INDUSTRIES INC NPV,6657767,8,470,0.00%
OKTA INC OKTA,BDFZSP1,0,36,0.00%
OLD DOMIN FRGHT USD0.1,2656423,12,"3,314",0.01%
OLYMPUS CORP,6658801,2,58,0.00%
OMNI BRIDGEWAY LTD-PLACEMENT,BM95XH7,481,698,0.00%
OMNICOM GROUP INC COM,2279303,0,51,0.00%
OMRON CORPORATION,6659428,0,24,0.00%
OMV AG,4651459,0,28,0.00%
ON SEMICONDUCTOR,2583576,1,87,0.00%
ONEOK INC COM,2130109,1,192,0.00%
ONEX CORP SUB VTG,2659518,53,"6,730",0.01%
ONO PHARMACEUTICAL CO LTD,6660107,1,13,0.00%
OOH!MEDIA LTD OML,BSXN8D0,"2,607","3,076",0.01%
OPEN TEXT CORP COM,2260824,1,35,0.00%
OPEN UP GROUP INC,B1XC021,26,480,0.00%
OPTHEA LTD OPT,BYQ3YX1,"1,556","1,260",0.00%
OPTIMA BANK SA,BL571C1,18,393,0.00%
ORA BANDA MINING LTD OBM,BKDX544,"13,357","8,682",0.02%
ORACLE CORP COM,2661568,40,"10,735",0.02%
ORACLE CORPORATION JAPAN ORACLE CORPORAT,6141680,0,9,0.00%
ORANGE,5176177,4,59,0.00%
OREILLY AUTO NEW,B65LWX6,0,237,0.00%
ORICA LTD,6458001,"1,309","21,699",0.04%
ORIENTAL LAND CO LTD,6648891,2,74,0.00%
ORIGIN ENERGY LTD,6214861,"2,947","32,125",0.06%
ORION CORP SER'B'NPV,B17NY40,1,39,0.00%
ORIX CORP ORD,6661144,2,83,0.00%
ORKLA BORREGARD AS ORD CL A,B1VQF42,1,12,0.00%
ORORA LTD,BH4TCW7,"5,764","14,180",0.03%
ORSTED A/S,BYT16L4,0,35,0.00%
OSAKA GAS CO LTD,6661768,1,19,0.00%
OTIS WORLDWIDE CORP-W/I,BK531S8,1,135,0.00%
OTSUKA CORP NPV,6267058,0,16,0.00%
OTSUKA HOLDINGS CO LTD NPV,B5LTM93,1,74,0.00%
OVERSEA-CHINESE BANKING CORP,B0F9V20,6,116,0.00%
OVINTIV INC,BJ01KB6,0,29,0.00%
OVS SPA,BW0D7R8,360,"2,043",0.00%
OWENS CORNING INC COM STK USD0.01,B1FW7Q2,0,69,0.00%
PACCAR INC COM,2665861,1,187,0.00%
PACIFIC BASIN SHIPPING LTD,B01RQM3,"6,589","2,247",0.00%
PACKAGING CORP OF AMERICA COM,2504566,0,58,0.00%
PALADIN ENERGY LTD,6668468,322,"2,432",0.00%
PALANTIR TECHNOLOGIES INC-A,BN78DQ4,4,546,0.00%
PALO ALTO NETWORKS INC PALO ALTO NETWORK,B87ZMX0,1,407,0.00%
PAN AMERICAN SILVER CORP COM NPV,2669272,1,33,0.00%
PAN PACIFIC INTERNATIONAL HOLDINGS CORP,6269861,1,31,0.00%
PANASONIC HOLDINGS CORP,6572707,5,86,0.00%
PANDORA A/S DKK1,B44XTX8,0,68,0.00%
PANTORO LTD,6210289,"9,434",849,0.00%
PARAGON BANKING GROUP PLC,B2NGPM5,130,"1,953",0.00%
PARKER HANNIFIN CORP,2671501,0,269,0.00%
PARKLAND CORP,BLFHPV8,1,19,0.00%
PARTNERS GROUP HOLDING AG,B119QG0,2,"4,710",0.01%
PAYCHEX INC COM,2674458,1,155,0.00%
PAYCOM SOFTWARE INC PAYC,BL95MY0,0,43,0.00%
PAYLOCITY HOLDING CORP PCTY,BKM4N88,15,"4,682",0.01%
PAYPAL HOLDINGS INC,BYW36M8,15,"2,071",0.00%
PB FINTECH LTD,INE417T01026 (ISIN),46,"1,827",0.00%
PDD HOLDINGS INC,BYVW0F7,72,"11,277",0.02%
PEABODY ENERGY CORP BTU,BDVPZV0,78,"2,625",0.00%
PEARSON PLC ORD,677608,2,48,0.00%
PEET LTD NPV,B01QLP8,"2,249","3,272",0.01%
PEMBINA PIPELINE CORP COM NPV,B4PT2P8,1,45,0.00%
PENTAIR PLC,BLS09M3,0,44,0.00%
PEPSICO INC COM,2681511,3,710,0.00%
PERENTI LTD,BKRKNV4,378,527,0.00%
PERMANENT TSB GROUP HOLDINGS IPM,BWB8X52,219,529,0.00%
PERMIAN BASIN ROYALTY TRUST UNITS OF BNF,2681964,15,277,0.00%
PERNOD RICARD ACT,4682329,1,173,0.00%
PERPETUAL TRUSTEES AUSTRALIA,6682394,1,29,0.00%
PERSEUS MINING LTD NPV,B02FBC1,674,"1,731",0.00%
PERSIMMON,682538,1,18,0.00%
PET VALU HOLDINGS LTD,BKY8LF1,135,"3,840",0.01%
PETRA DIAMONDS LTD-DI,BNYNCZ4,66,41,0.00%
PETRO RIO SA PRIO3,BYY0144,81,849,0.00%
PETROBRAS - PETROLEO BRAS COM NPV,2682365,148,"1,530",0.00%
PETROCHINA CO LTD-A,BP3R206,369,726,0.00%
PETROCHINA CO LTD-H,6226576,423,537,0.00%
PETRONAS CHEMICALS GROUP BHD,B5KQGT3,680,"1,271",0.00%
PEXA GROUP LTD,BMD0WJ3,101,"1,325",0.00%
PFIZER INC COM,2684703,12,520,0.00%
PG&E CORP COM,2689560,4,128,0.00%
PHILIP MORRIS INTERNAT NPV,B2PKRQ3,108,"20,991",0.04%
PHILIPS LIGHTING NV,BYY7VY5,132,"4,749",0.01%
PHILLIPS 66 COM USD0.01,B78C4Y8,1,180,0.00%
PHOENIX GROUP HOLDINGS PLC PHNX,BGXQNP2,1,6,0.00%
PICC HOLDING CO-A,BDFS9G8,128,214,0.00%
PIEDMONT LITHIUM LTD,BF1CV51,"2,348",340,0.00%
PILBARA MINERALS LTD PLS,B2368L5,"6,283","13,759",0.03%
