Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
High Growth,Fixed Income,ASB Bank Ltd,,,15684.0,0.0,,,AustralianSuper,3.7959883759396915e-05,,,,
High Growth,Fixed Income,Asml Holding Nv,,,21228.0,0.0,,,AustralianSuper,5.137799110204525e-05,,,,
High Growth,Fixed Income,Asr Nederland Nv,,,28548.0,0.0,,,AustralianSuper,6.909453975792293e-05,,,,
High Growth,Fixed Income,Assa Abloy Ab,,,17765.0,0.0,,,AustralianSuper,4.2996514599954486e-05,,,,
High Growth,Fixed Income,ASTM SpA,,,15993.0,0.0,,,AustralianSuper,3.870775446085405e-05,,,,
High Growth,Fixed Income,Astrazeneca Finance LLC,,,153765.0,0.0,,,AustralianSuper,0.0003721564349823,,,,
High Growth,Fixed Income,AstraZeneca PLC,,,15608.0,0.0,,,AustralianSuper,3.777594145094791e-05,,,,
High Growth,Fixed Income,AT&T Inc,,,450126.0,0.0,,,AustralianSuper,0.0010894370464857,,,,
High Growth,Fixed Income,Athene Global Funding,,,764569.0,0.0,,,AustralianSuper,0.0018504814056387,,,,
High Growth,Fixed Income,Athene Holding Ltd,,,14463.0,0.0,,,AustralianSuper,3.5004705356551744e-05,,,,
High Growth,Fixed Income,Atmos Energy Corp,,,93102.0,0.0,,,AustralianSuper,0.000225334168437,,,,
High Growth,Fixed Income,Auckland International Airport Ltd,,,220012.0,0.0,,,AustralianSuper,0.0005324936206116,,,,
High Growth,Fixed Income,Ausgrid Finance Pty Ltd,,,34880.0,0.0,,,AustralianSuper,8.441983840396354e-05,,,,
High Growth,Fixed Income,AusNet Services Holdings Pty Ltd,,,1276632.0,0.0,,,AustralianSuper,0.0030898241726298,,,,
High Growth,Fixed Income,Australia & New Zealand Banking Group Ltd,,,159746969.0,0.41,,,AustralianSuper,0.386634555863044,,,,
