Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,High Growth,Listed Equity,,ADNOC Drilling Co PJSC,11777.60051,27603.30635,0.00000747,,,AEA007301012
31/12/2024,High Growth,Listed Equity,,Adobe Inc,5213.172791,3744155.175,0.00101302,,,US00724F1012
31/12/2024,High Growth,Listed Equity,,Advanced Drainage Systems Inc,886.496926,165515.6984,0.00004478,,,US00790R1041
31/12/2024,High Growth,Listed Equity,,Advanced Info Service PCL,4202.822033,57139.46695,0.00001546,,,TH0268010R11
31/12/2024,High Growth,Listed Equity,,Advanced Micro Devices Inc,12966.95624,2529724.049,0.00068444,,,US0079031078
31/12/2024,High Growth,Listed Equity,,Advanced Micro-Fabrication Equipment Inc China,138.913788,5814.340003,0.00000157,,,CNE100003MM9
31/12/2024,High Growth,Listed Equity,,Advantech Co Ltd,1749.687668,29867.52258,0.00000808,,,TW0002395001
31/12/2024,High Growth,Listed Equity,,Advantest Corp,4054.390518,383248.9301,0.00010369,,,JP3122400009
31/12/2024,High Growth,Listed Equity,,Adyen NV,1182.59497,2842148.789,0.00076897,,,NL0012969182
31/12/2024,High Growth,Listed Equity,,AECC Aero-Engine Control Co Ltd,846.722388,4166.789634,0.00000113,,,CNE000000RM5
31/12/2024,High Growth,Listed Equity,,AECC Aviation Power Co Ltd,600.403148,5506.723193,0.00000149,,,CNE000000JW1
31/12/2024,High Growth,Listed Equity,,AECOM,4533.5733,782163.1264,0.00021162,,,US00766T1007
31/12/2024,High Growth,Listed Equity,,Aegon Ltd,45747.89757,437644.206,0.00011841,,,BMG0112X1056
31/12/2024,High Growth,Listed Equity,,Aena SME SA,1072.808855,354179.5745,0.00009583,,,ES0105046009
31/12/2024,High Growth,Listed Equity,,Aeon Co Ltd,2930.467006,111279.0085,0.00003011,,,JP3388200002
31/12/2024,High Growth,Listed Equity,,AerCap Holdings NV,1027.305822,158787.3168,0.00004296,,,NL0000687663
31/12/2024,High Growth,Listed Equity,,Aeroports de Paris SA,1890.748416,353216.4595,0.00009557,,,FR0010340141
31/12/2024,High Growth,Listed Equity,,AES Corp/The,3327.28869,69162.89329,0.00001871,,,US00130H1059
31/12/2024,High Growth,Listed Equity,,Aflac Inc,7857.248006,1312692.778,0.00035516,,,US0010551028
31/12/2024,High Growth,Listed Equity,,AGC Inc,641.520654,30491.89034,0.00000825,,,JP3112000009
31/12/2024,High Growth,Listed Equity,,Ageas SA/NV,2325.966952,182444.3407,0.00004936,,,BE0974264930
31/12/2024,High Growth,Listed Equity,,Agilent Technologies Inc,2672.354546,579833.8193,0.00015688,,,US00846U1016
31/12/2024,High Growth,Listed Equity,,AGL Energy Ltd,44897.33911,506890.9586,0.00013714,,,AU000000AGL7
31/12/2024,High Growth,Listed Equity,,Agnico Eagle Mines Ltd,3449.040559,435593.098,0.00011785,,,CA0084741085
31/12/2024,High Growth,Listed Equity,,Agricultural Bank of China Ltd,19162.09738,22641.75332,0.00000613,,,CNE100000RJ0
31/12/2024,High Growth,Listed Equity,,Agricultural Bank of China Ltd,414071.6713,381396.5743,0.00010319,,,CNE100000Q43
31/12/2024,High Growth,Listed Equity,,AIA Group Ltd,110813.5713,1297175.952,0.00035096,,,HK0000069689
31/12/2024,High Growth,Listed Equity,,AIB Group PLC,17701.64592,157795.5942,0.00004269,,,IE00BF0L3536
31/12/2024,High Growth,Listed Equity,,Aier Eye Hospital Group Co Ltd,2097.97281,6150.939863,0.00000166,,,CNE100000GR6
31/12/2024,High Growth,Listed Equity,,Ainsworth Game Technology Ltd,49356.1726,42693.08958,0.00001155,,,AU000000AGI3
31/12/2024,High Growth,Listed Equity,,Airbnb Inc,5227.641373,1109528.147,0.00030019,,,US0090661010
31/12/2024,High Growth,Listed Equity,,Airbus SE,15596.78948,4037421.271,0.00109236,,,NL0000235190
31/12/2024,High Growth,Listed Equity,,Air Canada,17538.79115,438439.2491,0.00011862,,,CA0089118776
