Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,Indexed Balanced Growth,Listed Equity,,America Movil SAB de CV,41541.60152,48241.01928,0.00010422,,,MX01AM050019
31/12/2024,Indexed Balanced Growth,Listed Equity,,American Electric Power Co Inc,821.273786,122338.818,0.0002643,,,US0255371017
31/12/2024,Indexed Balanced Growth,Listed Equity,,American Express Co,865.388761,414824.7275,0.00089618,,,US0258161092
31/12/2024,Indexed Balanced Growth,Listed Equity,,American Financial Group Inc/OH,138.226922,30569.994,0.00006604,,,US0259321042
31/12/2024,Indexed Balanced Growth,Listed Equity,,American International Group Inc,1108.756373,130368.192,0.00028164,,,US0268747849
31/12/2024,Indexed Balanced Growth,Listed Equity,,American Water Works Co Inc,310.275325,62385.8096,0.00013478,,,US0304201033
31/12/2024,Indexed Balanced Growth,Listed Equity,,Ameriprise Financial Inc,147.785166,127085.9349,0.00027455,,,US03076C1062
31/12/2024,Indexed Balanced Growth,Listed Equity,,AMETEK Inc,488.940974,142350.8045,0.00030753,,,US0311001004
31/12/2024,Indexed Balanced Growth,Listed Equity,,Amgen Inc,880.093753,370487.9865,0.00080039,,,US0311621009
31/12/2024,Indexed Balanced Growth,Listed Equity,,Amotiv Ltd,8987.250851,95264.85902,0.00020581,,,AU0000340770
31/12/2024,Indexed Balanced Growth,Listed Equity,,Amphenol Corp,1983.703379,222511.8316,0.00048071,,,US0320951017
31/12/2024,Indexed Balanced Growth,Listed Equity,,Amplifon SpA,252.190607,10481.15929,0.00002264,,,IT0004056880
31/12/2024,Indexed Balanced Growth,Listed Equity,,Amplitude Energy Ltd,234923.3919,48159.29534,0.00010404,,,AU0000361909
31/12/2024,Indexed Balanced Growth,Listed Equity,,AMP Ltd,165466.9251,262265.08,0.00056659,,,AU000000AMP6
31/12/2024,Indexed Balanced Growth,Listed Equity,,Ampol Ltd,17232.92249,485796.0851,0.0010495,,,AU0000088338
31/12/2024,Indexed Balanced Growth,Listed Equity,,Amundi SA,16.175491,1736.784511,0.00000375,,,FR0004125920
31/12/2024,Indexed Balanced Growth,Listed Equity,,Analog Devices Inc,816.127039,280052.2508,0.00060502,,,US0326541051
31/12/2024,Indexed Balanced Growth,Listed Equity,,Anglo American PLC,1985.173878,94927.71358,0.00020508,,,GB00B1XZS820
31/12/2024,Indexed Balanced Growth,Listed Equity,,Anglogold Ashanti Plc,738.925832,26626.55638,0.00005752,,,GB00BRXH2664
31/12/2024,Indexed Balanced Growth,Listed Equity,,Anheuser-Busch InBev SA/NV,1401.385708,113086.0476,0.00024431,,,BE0974293251
31/12/2024,Indexed Balanced Growth,Listed Equity,,Annaly Capital Management Inc,476.441731,14082.02207,0.00003042,,,US0357108390
31/12/2024,Indexed Balanced Growth,Listed Equity,,Ansell Ltd,8501.240081,287511.9396,0.00062113,,,AU000000ANN9
31/12/2024,Indexed Balanced Growth,Listed Equity,,ANSYS Inc,135.285924,73707.50622,0.00015924,,,US03662Q1058
31/12/2024,Indexed Balanced Growth,Listed Equity,,ANTA Sports Products Ltd,3823.297839,61886.26633,0.0001337,,,KYG040111059
31/12/2024,Indexed Balanced Growth,Listed Equity,,Antofagasta PLC,699.222355,22488.44673,0.00004858,,,GB0000456144
31/12/2024,Indexed Balanced Growth,Listed Equity,,ANZ Group Holdings Ltd,180828.3113,5160840.006,0.01114933,,,AU000000ANZ3
31/12/2024,Indexed Balanced Growth,Listed Equity,,Aon PLC,311.745824,180839.26,0.00039068,,,IE00BLP1HW54
31/12/2024,Indexed Balanced Growth,Listed Equity,,A O Smith Corp,225.721622,24867.11148,0.00005372,,,US8318652091
31/12/2024,Indexed Balanced Growth,Listed Equity,,APA Corp,694.810857,25911.62174,0.00005598,,,US03743Q1085
31/12/2024,Indexed Balanced Growth,Listed Equity,,AP Moller - Maersk A/S,16.91074,45150.96379,0.00009754,,,DK0010244508
31/12/2024,Indexed Balanced Growth,Listed Equity,,Apollo Global Management Inc,628.638395,167691.0564,0.00036227,,,US03769M1062
31/12/2024,Indexed Balanced Growth,Listed Equity,,Apollo Hospitals Enterprise Ltd,383.800283,52828.8811,0.00011413,,,INE437A01024
31/12/2024,Indexed Balanced Growth,Listed Equity,,Apple Inc,23736.79759,9600531.133,0.0207407,,,US0378331005
31/12/2024,Indexed Balanced Growth,Listed Equity,,Applied Materials Inc,1341.095242,352260.8699,0.00076101,,,US0382221051
31/12/2024,Indexed Balanced Growth,Listed Equity,,AppLovin Corp,306.599077,160358.5226,0.00034643,,,US03831W1080
31/12/2024,Indexed Balanced Growth,Listed Equity,,Aptiv PLC,385.270782,37634.13966,0.0000813,,,JE00BTDN8H13
31/12/2024,Indexed Balanced Growth,Listed Equity,,Arafura Rare Earths Ltd,165724.6473,19058.33443,0.00004117,,,AU000000ARU5
31/12/2024,Indexed Balanced Growth,Listed Equity,,ARB Corp Ltd,4574.387924,185765.8936,0.00040132,,,AU000000ARB5
31/12/2024,Indexed Balanced Growth,Listed Equity,,Arcadium Lithium PLC,35073.89686,287605.9543,0.00062134,,,AU0000305724
31/12/2024,Indexed Balanced Growth,Listed Equity,,ArcelorMittal SA,222.780624,8357.199697,0.00001805,,,LU1598757687
31/12/2024,Indexed Balanced Growth,Listed Equity,,Arch Capital Group Ltd,588.199668,87733.56844,0.00018954,,,BMG0450A1053
31/12/2024,Indexed Balanced Growth,Listed Equity,,Archer-Daniels-Midland Co,957.294959,78111.18802,0.00016875,,,US0394831020
31/12/2024,Indexed Balanced Growth,Listed Equity,,ARC Resources Ltd,1666.810808,48799.11783,0.00010542,,,CA00208D4084
31/12/2024,Indexed Balanced Growth,Listed Equity,,Ares Management Corp,263.219351,75260.79449,0.00016259,,,US03990B1017
31/12/2024,Indexed Balanced Growth,Listed Equity,,Argenx SE,91.906198,92225.29638,0.00019924,,,NL0010832176
31/12/2024,Indexed Balanced Growth,Listed Equity,,Arista Networks Inc,1699.897039,303463.8107,0.00065559,,,US0404132054
31/12/2024,Indexed Balanced Growth,Listed Equity,,Aristocrat Leisure Ltd,38190.25248,2610685.659,0.00564005,,,AU000000ALL7
