Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Fixed Income,Externally,BENTHAM ASSET MANAGEMENT PTY LTD,22892660.0,0.45,-,-,,Rest,High Growth,0.4555566105680509,,,,
Fixed Income,Externally,METRICS CREDIT PARTNERS PTY LTD,21835751.0,0.43,-,-,,Rest,High Growth,0.4345244595764724,,,,
Fixed Income,Externally,HAYFIN MANAGEMENT LIMITED,9562891.0,0.19,-,-,,Rest,High Growth,0.1902984717019218,,,,
Fixed Income,Externally,"BAIN CAPITAL CREDIT, LP",4272095.0,0.08,-,-,,Rest,High Growth,0.0850133238437437,,,,
Equity,-,Bhp Group Ltd.,123059277.0,2.44,BHP AU,-,Listed,Rest,High Growth,2.4488402452609224,bhp.com,BHP Group,,
Equity,-,Commonwealth Bank Of Australia Ltd.,108455706.0,2.15,CBA AU,-,Listed,Rest,High Growth,2.158233854087949,commbank.com.au,Commonwealth Bank,,
Equity,-,"Apple, Inc.",90205540.0,1.79,AAPL US,-,Listed,Rest,High Growth,1.7950613889718687,apple.com,Apple,,
Equity,-,Csl Ltd.,90047788.0,1.79,CSL AU,-,Listed,Rest,High Growth,1.791922174637216,csl.com,CSL,,
Equity,-,Nvidia Corp.,80646003.0,1.6,NVDA US,-,Listed,Rest,High Growth,1.604829660796992,nvidia.com,Nvidia,,
Equity,-,Microsoft Corp.,77072827.0,1.53,MSFT US,-,Listed,Rest,High Growth,1.5337246014669226,microsoft.com,Microsoft,,
Equity,-,National Australia Bank Ltd.,67807174.0,1.35,NAB AU,-,Listed,Rest,High Growth,1.3493410708776556,nab.com.au,National Australia Bank,,
Equity,-,"Amazon.Com, Inc.",60235846.0,1.2,AMZN US,-,Listed,Rest,High Growth,1.198674065768639,amazon.com,Amazon,,
Equity,-,Macquarie Group Ltd.,59370386.0,1.18,MQG AU,-,Listed,Rest,High Growth,1.18145168863194,macquarie.com,Macquarie Group,,
Equity,-,Anz Group Holdings Ltd.,50923305.0,1.01,ANZ AU,-,Listed,Rest,High Growth,1.0133574789789863,anz.com,ANZ,,
Equity,-,Westpac Banking Corp.,37355863.0,0.74,WBC AU,-,Listed,Rest,High Growth,0.7433697234451769,westpac.com.au,Westpac,,
Equity,-,"Meta Platforms, Inc.",33909145.0,0.67,META US,-,Listed,Rest,High Growth,0.6747811378608065,meta.com,Meta,,
Equity,-,"Alphabet, Inc.",32602630.0,0.65,GOOGL US,-,Listed,Rest,High Growth,0.6487819073189509,abc.xyz,Alphabet,,
Equity,-,Qbe Insurance Group Ltd.,32422307.0,0.64,QBE AU,-,Listed,Rest,High Growth,0.6451935373048301,qbe.com,QBE Insurance,,
Equity,-,Rio Tinto Ltd.,30612710.0,0.61,RIO AU,-,Listed,Rest,High Growth,0.6091831359004449,riotinto.com,Rio Tinto,,
Equity,-,Wesfarmers Ltd.,28786733.0,0.57,WES AU,-,Listed,Rest,High Growth,0.5728467777360717,wesfarmers.com.au,Wesfarmers,,
Equity,-,Telstra Group Ltd.,27328815.0,0.54,TLS AU,-,Listed,Rest,High Growth,0.5438346759284989,telstra.com.au,Telstra,,
Equity,-,"Tesla, Inc.",27280463.0,0.54,TSLA US,-,Listed,Rest,High Growth,0.5428724865964516,tesla.com,Tesla,,
Equity,-,Wisetech Global Ltd.,25817322.0,0.51,WTC AU,-,Listed,Rest,High Growth,0.5137564487597324,wisetechglobal.com,WiseTech Global,,
Equity,-,"Resmed, Inc.",25333279.0,0.5,RMD AU,-,Listed,Rest,High Growth,0.5041241479065685,resmed.com,ResMed,,
Equity,-,Aristocrat Leisure Ltd.,22927031.0,0.46,ALL AU,-,Listed,Rest,High Growth,0.4562405824726629,aristocrat.com,Aristocrat Leisure,,
Equity,-,Taiwan Semiconductor Manufacturing Co. Ltd.,22832900.0,0.45,2330 TT,-,Listed,Rest,High Growth,0.4543674056854577,tsmc.com,TSMC,,
Equity,-,"Broadcom, Inc.",22275340.0,0.44,AVGO US,-,Listed,Rest,High Growth,0.443272140050607,broadcom.com,Broadcom,,
Equity,-,Xero Ltd.,21179706.0,0.42,XRO AU,-,Listed,Rest,High Growth,0.4214693739472744,xero.com,Xero,,
Equity,-,Santos Ltd.,21055235.0,0.42,STO AU,-,Listed,Rest,High Growth,0.418992440865928,santos.com,Santos,,
Equity,-,Eli Lilly & Co.,20140466.0,0.4,LLY US,-,Listed,Rest,High Growth,0.4007888304033288,lilly.com,Eli Lilly,,
Equity,-,Coles Group Ltd.,20074727.0,0.4,COL AU,-,Listed,Rest,High Growth,0.3994806453334361,coles.com.au,Coles,,
Equity,-,"Block, Inc.",19180349.0,0.38,SQ2 AU,-,Listed,Rest,High Growth,0.3816828092476936,block.xyz,Block,,
Equity,-,"Alphabet, Inc.",19108286.0,0.38,GOOG US,-,Listed,Rest,High Growth,0.3802487786008677,abc.xyz,Alphabet,,
Equity,-,Alcoa Corp.,17936373.0,0.36,AAI AU,-,Listed,Rest,High Growth,0.3569280847994205,alcoa.com,Alcoa,,
Equity,-,Northern Star Resources Ltd.,16956542.0,0.34,NST AU,-,Listed,Rest,High Growth,0.3374297613503542,nsrltd.com,Northern Star Resources,,
Equity,-,Orica Ltd.,16881388.0,0.34,ORI AU,-,Listed,Rest,High Growth,0.3359342207923486,orica.com,Orica,,
Equity,-,Incitec Pivot Ltd.,16354958.0,0.32,IPL AU,-,Listed,Rest,High Growth,0.3254584321989157,incitecpivot.com.au,Incitec Pivot,,
Equity,-,Woolworths Group Ltd.,15670886.0,0.31,WOW AU,-,Listed,Rest,High Growth,0.3118456182356406,woolworthsgroup.com.au,Woolworths Group,,
Equity,-,Woodside Energy Group Ltd.,15593519.0,0.31,WDS AU,-,Listed,Rest,High Growth,0.3103060396855805,woodside.com,Woodside Energy,,
Equity,-,Amcor Plc,15418152.0,0.31,AMC AU,-,Listed,Rest,High Growth,0.3068162924860202,amcor.com,Amcor,,
Equity,-,"Visa, Inc.",14762733.0,0.29,V US,-,Listed,Rest,High Growth,0.2937736640565628,visa.com,Visa,,
Equity,-,Jpmorgan Chase & Co.,14168831.0,0.28,JPM US,-,Listed,Rest,High Growth,0.281955204247629,jpmorganchase.com,JPMorgan Chase,,
Equity,-,Tencent Holdings Ltd.,13756917.0,0.27,700 HK,-,Listed,Rest,High Growth,0.2737582474201774,tencent.com,Tencent,,
Equity,-,Origin Energy Ltd.,13748102.0,0.27,ORG AU,-,Listed,Rest,High Growth,0.2735828317401229,originenergy.com.au,Origin Energy,,
Equity,-,Transurban Group,13729644.0,0.27,TCL AU,-,Listed,Rest,High Growth,0.2732155234448936,transurban.com,Transurban,,
Equity,-,Worley Ltd.,13637318.0,0.27,WOR AU,-,Listed,Rest,High Growth,0.2713782655802633,worley.com,Worley,,
Equity,-,Brambles Ltd.,13292166.0,0.26,BXB AU,-,Listed,Rest,High Growth,0.2645098511954437,brambles.com,Brambles,,
Equity,-,Insurance Australia Group Ltd.,13232576.0,0.26,IAG AU,-,Listed,Rest,High Growth,0.263324029258467,iag.com.au,IAG,,
Equity,-,Pro Medicus Ltd.,13183224.0,0.26,PME AU,-,Listed,Rest,High Growth,0.2623419402463227,promedicus.com,Pro Medicus,,
Equity,-,Bank Of America Corp.,13011557.0,0.26,BAC US,-,Listed,Rest,High Growth,0.2589258218631211,bankofamerica.com,Bank of America,,
Equity,-,Newmont Corp.,12601527.0,0.25,NEM AU,-,Listed,Rest,High Growth,0.2507663560329721,newmont.com,Newmont,,
Equity,-,Sgh Ltd.,12124280.0,0.24,SGH AU,-,Listed,Rest,High Growth,0.241269293405747,sghlimited.com,SGH,,
Equity,-,Procter & Gamble Co.,12036928.0,0.24,PG US,-,Listed,Rest,High Growth,0.2395310165499189,pg.com,Procter & Gamble,,
Equity,-,"Light & Wonder, Inc.",11983369.0,0.24,LNW AU,-,Listed,Rest,High Growth,0.2384652095836068,lnw.com,Light & Wonder,,
Equity,-,"Netflix, Inc.",11932926.0,0.24,NFLX US,-,Listed,Rest,High Growth,0.2374614100204768,netflix.com,Netflix,,
Equity,-,Downer Edi Ltd.,11637304.0,0.23,DOW AU,-,Listed,Rest,High Growth,0.2315786267908587,downergroup.com,Downer EDI,,
Equity,-,Lendlease Corp. Ltd.,11483178.0,0.23,LLC AU,-,Listed,Rest,High Growth,0.2285115686962375,lendlease.com,Lendlease,,
Equity,-,Cleanaway Waste Management Ltd.,11340820.0,0.23,CWY AU,-,Listed,Rest,High Growth,0.2256786900369971,cleanaway.com.au,Cleanaway,,
Equity,-,Sigma Healthcare Ltd.,10986461.0,0.22,SIG AU,-,Listed,Rest,High Growth,0.218627059297525,sigmahealthcare.com.au,Sigma Healthcare,,
Equity,-,South32 Ltd.,10886019.0,0.22,S32 AU,-,Listed,Rest,High Growth,0.216628295629228,south32.net,South32,,
Equity,-,Steadfast Group Ltd.,10621812.0,0.21,SDF AU,-,Listed,Rest,High Growth,0.2113706608498554,steadfastgroup.com.au,Steadfast Group,,
Equity,-,Costco Wholesale Corp.,10457911.0,0.21,COST US,-,Listed,Rest,High Growth,0.2081090833822865,costco.com,Costco,,
Equity,-,Seek Ltd.,10258640.0,0.2,SEK AU,-,Listed,Rest,High Growth,0.2041436542296889,seek.com.au,Seek,,
Equity,-,James Hardie Industries Plc,10211202.0,0.2,JHX AU,-,Listed,Rest,High Growth,0.2031996532052502,jameshardie.com,James Hardie,,
Equity,-,"Merck & Co., Inc.",9859580.0,0.2,MRK US,-,Listed,Rest,High Growth,0.1962024878902034,merck.com,Merck,,
Equity,-,Fortescue Metals Group Ltd.,9612115.0,0.19,FMG AU,-,Listed,Rest,High Growth,0.1912780135550137,fmgl.com.au,Fortescue Metals Group,,
Equity,-,"Servicenow, Inc.",9414020.0,0.19,NOW US,-,Listed,Rest,High Growth,0.1873359864262101,servicenow.com,ServiceNow,,
Equity,-,"Berkshire Hathaway, Inc.",9368570.0,0.19,BRKB US,-,Listed,Rest,High Growth,0.1864315459658041,berkshirehathaway.com,Berkshire Hathaway,,
Equity,-,Rea Group Ltd.,9355925.0,0.19,REA AU,-,Listed,Rest,High Growth,0.1861799145109783,rea-group.com,REA Group,,
Equity,-,"Mercadolibre, Inc.",9287714.0,0.18,MELI US,-,Listed,Rest,High Growth,0.1848225374318858,mercadolibre.com,MercadoLibre,,
Equity,-,Exxon Mobil Corp.,9116001.0,0.18,XOM US,-,Listed,Rest,High Growth,0.1814055036633996,exxonmobil.com,ExxonMobil,,
Equity,-,Qantas Airways Ltd.,9080790.0,0.18,QAN AU,-,Listed,Rest,High Growth,0.1807048160275062,qantas.com,Qantas,,
Equity,-,Aia Group Ltd.,9009104.0,0.18,1299 HK,-,Listed,Rest,High Growth,0.1792782875600769,aia.com,AIA Group,,
Equity,-,Treasury Wine Estates Ltd.,8875990.0,0.18,TWE AU,-,Listed,Rest,High Growth,0.1766293615436526,tweglobal.com,Treasury Wine Estates,,
Equity,-,"Abbvie, Inc.",8724653.0,0.17,ABBV US,-,Listed,Rest,High Growth,0.1736178036568217,abbvie.com,AbbVie,,
Equity,-,Accenture Plc,8571515.0,0.17,ACN US,-,Listed,Rest,High Growth,0.1705704064461363,accenture.com,Accenture,,
Equity,-,Novartis Ag,8490043.0,0.17,NOVN SW,-,Listed,Rest,High Growth,0.1689491397092783,novartis.com,Novartis,,
Equity,-,"Home Depot, Inc.",8436959.0,0.17,HD US,-,Listed,Rest,High Growth,0.1678927850910122,homedepot.com,Home Depot,,
Equity,-,Ansell Ltd.,8263901.0,0.16,ANN AU,-,Listed,Rest,High Growth,0.1644489862527957,ansell.com,Ansell,,
Equity,-,Asml Holding Nv,8249154.0,0.16,ASML NA,-,Listed,Rest,High Growth,0.1641555256704061,asml.com,ASML,,
Equity,-,"Pfizer, Inc.",8169928.0,0.16,PFE US,-,Listed,Rest,High Growth,0.1625789536150458,pfizer.com,Pfizer,,
Equity,-,Igo Ltd.,8162706.0,0.16,IGO AU,-,Listed,Rest,High Growth,0.1624352381253857,igo.com.au,IGO,,
Equity,-,Morgan Stanley,8094567.0,0.16,MS US,-,Listed,Rest,High Growth,0.1610792938232602,morganstanley.com,Morgan Stanley,,
Equity,-,Deere & Co.,8068353.0,0.16,DE US,-,Listed,Rest,High Growth,0.160557643609199,deere.com,Deere,,
Equity,-,"Qualcomm, Inc.",7905665.0,0.16,QCOM US,-,Listed,Rest,High Growth,0.1573202044535877,qualcomm.com,Qualcomm,,
Equity,-,Carsales.Com Ltd.,7863726.0,0.16,CAR AU,-,Listed,Rest,High Growth,0.1564856317700021,carsales.com.au,Carsales,,
Equity,-,"Mastercard, Inc.",7765053.0,0.15,MA US,-,Listed,Rest,High Growth,0.1545220706357966,mastercard.com,Mastercard,,
Equity,-,Infratil Ltd.,7752746.0,0.15,IFT AU,-,Listed,Rest,High Growth,0.1542771652728435,infratil.com,Infratil,,
Equity,-,"Walmart, Inc.",7716527.0,0.15,WMT US,-,Listed,Rest,High Growth,0.1535564187594124,walmart.com,Walmart,,
Equity,-,"Unitedhealth Group, Inc.",7714463.0,0.15,UNH US,-,Listed,Rest,High Growth,0.1535153458196923,unitedhealthgroup.com,UnitedHealth Group,,
Equity,-,"Adobe, Inc.",7690580.0,0.15,ADBE US,-,Listed,Rest,High Growth,0.153040081759937,adobe.com,Adobe,,
Equity,-,Johnson & Johnson,7629310.0,0.15,JNJ US,-,Listed,Rest,High Growth,0.1518208283603974,jnj.com,Johnson & Johnson,,
Equity,-,Engie Sa,7533029.0,0.15,ENGI FP,-,Listed,Rest,High Growth,0.1499048672609838,engie.com,Engie,,
Equity,-,Ramsay Health Care Ltd.,7522748.0,0.15,RHC AU,-,Listed,Rest,High Growth,0.1497002786499072,ramsayhealth.com,Ramsay Health Care,,
Equity,-,Conocophillips,7473456.0,0.15,COP US,-,Listed,Rest,High Growth,0.1487193836185687,conocophillips.com,ConocoPhillips,,
Equity,-,Unilever Plc,7401435.0,0.15,ULVR LN,-,Listed,Rest,High Growth,0.1472861887583069,unilever.com,Unilever,,
Equity,-,Viva Energy Group Ltd.,7291914.0,0.14,VEA AU,-,Listed,Rest,High Growth,0.1451067558944097,vivaenergy.com.au,Viva Energy,,
Equity,-,Chevron Corp.,7112447.0,0.14,CVX US,-,Listed,Rest,High Growth,0.1415354200064519,chevron.com,Chevron,,
Equity,-,Cochlear Ltd.,7000510.0,0.14,COH AU,-,Listed,Rest,High Growth,0.1393079095154406,cochlear.com,Cochlear,,
