Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Equity,-,Bhp Group Ltd.,20948607.0,1.21,BHP AU,-,Listed,Rest,Balanced,1.2178232868147754,bhp.com,BHP Group,,
Equity,-,Commonwealth Bank Of Australia Ltd.,18462615.0,1.06,CBA AU,-,Listed,Rest,Balanced,1.0733029877593183,commbank.com.au,Commonwealth Bank,,
Equity,-,"Apple, Inc.",16009349.0,0.92,AAPL US,-,Listed,Rest,Balanced,0.9306851772504414,apple.com,Apple,,
Equity,-,Csl Ltd.,15329001.0,0.88,CSL AU,-,Listed,Rest,Balanced,0.8911339251057113,csl.com,CSL,,
Equity,-,Nvidia Corp.,14312758.0,0.83,NVDA US,-,Listed,Rest,Balanced,0.8320558016551874,nvidia.com,Nvidia,,
Equity,-,Microsoft Corp.,13678604.0,0.79,MSFT US,-,Listed,Rest,Balanced,0.7951899848194076,microsoft.com,Microsoft,,
Equity,-,National Australia Bank Ltd.,11542941.0,0.67,NAB AU,-,Listed,Rest,Balanced,0.6710356611362766,nab.com.au,National Australia Bank,,
Equity,-,"Amazon.Com, Inc.",10690438.0,0.62,AMZN US,-,Listed,Rest,Balanced,0.6214763751427279,amazon.com,Amazon,,
Equity,-,Macquarie Group Ltd.,10106730.0,0.58,MQG AU,-,Listed,Rest,Balanced,0.587543178768378,macquarie.com,Macquarie Group,,
Equity,-,Anz Group Holdings Ltd.,8668768.0,0.5,ANZ AU,-,Listed,Rest,Balanced,0.5039489040199545,anz.com,ANZ,,
Equity,-,Westpac Banking Corp.,6359158.0,0.37,WBC AU,-,Listed,Rest,Balanced,0.3696823706194151,westpac.com.au,Westpac,,
Equity,-,"Meta Platforms, Inc.",6018071.0,0.35,META US,-,Listed,Rest,Balanced,0.349853668337216,meta.com,Meta,,
Equity,-,"Alphabet, Inc.",5786197.0,0.33,GOOGL US,-,Listed,Rest,Balanced,0.3363739387873281,abc.xyz,Alphabet,,
Equity,-,Qbe Insurance Group Ltd.,5519309.0,0.32,QBE AU,-,Listed,Rest,Balanced,0.3208587104300716,qbe.com,QBE Insurance,,
Equity,-,Rio Tinto Ltd.,5222826.0,0.3,RIO AU,-,Listed,Rest,Balanced,0.3036230106269914,riotinto.com,Rio Tinto,,
Equity,-,Wesfarmers Ltd.,4900418.0,0.28,WES AU,-,Listed,Rest,Balanced,0.2848801906268177,wesfarmers.com.au,Wesfarmers,,
Equity,-,"Tesla, Inc.",4841637.0,0.28,TSLA US,-,Listed,Rest,Balanced,0.2814630244819633,tesla.com,Tesla,,
Equity,-,Telstra Group Ltd.,4652234.0,0.27,TLS AU,-,Listed,Rest,Balanced,0.2704522978979676,telstra.com.au,Telstra,,
Equity,-,Wisetech Global Ltd.,4394931.0,0.25,WTC AU,-,Listed,Rest,Balanced,0.2554942825431852,wisetechglobal.com,WiseTech Global,,
Equity,-,"Resmed, Inc.",4312531.0,0.25,RMD AU,-,Listed,Rest,Balanced,0.2507040528714205,resmed.com,ResMed,,
Equity,-,Taiwan Semiconductor Manufacturing Co. Ltd.,4052299.0,0.23,2330 TT,-,Listed,Rest,Balanced,0.2355757634546406,tsmc.com,TSMC,,
Equity,-,"Broadcom, Inc.",3953347.0,0.23,AVGO US,-,Listed,Rest,Balanced,0.2298233022109456,broadcom.com,Broadcom,,
Equity,-,Aristocrat Leisure Ltd.,3902911.0,0.23,ALL AU,-,Listed,Rest,Balanced,0.2268912630880679,aristocrat.com,Aristocrat Leisure,,
Equity,-,Xero Ltd.,3605460.0,0.21,XRO AU,-,Listed,Rest,Balanced,0.2095992897131155,xero.com,Xero,,
Equity,-,Santos Ltd.,3584271.0,0.21,STO AU,-,Listed,Rest,Balanced,0.2083674914544381,santos.com,Santos,,
Equity,-,Eli Lilly & Co.,3574457.0,0.21,LLY US,-,Listed,Rest,Balanced,0.2077969657991141,lilly.com,Eli Lilly,,
Equity,-,Coles Group Ltd.,3417358.0,0.2,COL AU,-,Listed,Rest,Balanced,0.1986641952747868,coles.com.au,Coles,,
Equity,-,"Alphabet, Inc.",3391269.0,0.2,GOOG US,-,Listed,Rest,Balanced,0.1971475411254341,abc.xyz,Alphabet,,
Equity,-,"Block, Inc.",3265106.0,0.19,SQ2 AU,-,Listed,Rest,Balanced,0.1898131995468072,block.xyz,Block,,
Equity,-,Alcoa Corp.,3053342.0,0.18,AAI AU,-,Listed,Rest,Balanced,0.177502541825793,alcoa.com,Alcoa,,
Equity,-,Northern Star Resources Ltd.,2886544.0,0.17,NST AU,-,Listed,Rest,Balanced,0.1678059310394944,nsrltd.com,Northern Star Resources,,
Equity,-,Orica Ltd.,2873750.0,0.17,ORI AU,-,Listed,Rest,Balanced,0.1670621664955555,orica.com,Orica,,
Equity,-,Incitec Pivot Ltd.,2784135.0,0.16,IPL AU,-,Listed,Rest,Balanced,0.1618525010582352,incitecpivot.com.au,Incitec Pivot,,
